table_nr,ACC,desc,group
53,AT5G60960,Pentatricopeptide repeat (PPR) superfamily protein,Mitochondrial Protein Synthesis
54,AT5G62270,ribosomal protein L20,Mitochondrial Protein Synthesis
55,AT5G63400,adenylate kinase 1,Mitochondrial Protein Synthesis
56,AT5G64670,large subunit ribosomal protein L15,Mitochondrial Protein Synthesis
57,AT1G06530,PEROXISOMAL AND MITOCHONDRIAL DIVISION FACTOR 2 (PMD2),Ungrouped
58,AT1G54010,GDSL-like Lipase/Acylhydrolase superfamily protein,Ungrouped
59,AT1G61570,TRANSLOCASE OF THE INNER MITOCHONDRIAL MEMBRANE 13 (TIM13),Ungrouped
60,AT1G72170,MICOS complex subunit,Ungrouped
61,AT2G43360,biotin synthase,Ungrouped
62,AT2G45290,TRANSKETOLASE 2 (TKL2) (Chloroplast contaminant),Ungrouped
63,AT3G16460,Mannose-binding lectin superfamily protein,Ungrouped
64,AT3G22200,4-aminobutyrate---pyruvate transaminase,Ungrouped
65,AT3G62530,ARM repeat superfamily protein,Ungrouped
66,AT4G15640,adenylyl cyclase,Ungrouped
67,AT4G21020,Late embryogenesis abundant protein (LEA) family protein,Ungrouped
68,AT4G25315,Expressed protein,Ungrouped
69,AT5G19760,dicarboxylate/tricarboxylate carrier,Ungrouped
70,AT5G20080,NADH-cytochrome b5 reductase,Ungrouped
71,AT5G43970,translocase of outer membrane 22-V,Ungrouped
72,AT5G55610,isopentenyl-diphosphate delta-isomerase,Ungrouped
73,AT5G67500,voltage dependent anion channel 2,Ungrouped
74,ATCG00490,large subunit of RUBISCO (chloroplast),Ungrouped
