Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides blank	Peptides clp1_p	Peptides clp1_s	Peptides clp2_p	Peptides clp2_s	Peptides pool_p	Peptides pool_s	Peptides wt_p	Peptides wt_s	Razor + unique peptides blank	Razor + unique peptides clp1_p	Razor + unique peptides clp1_s	Razor + unique peptides clp2_p	Razor + unique peptides clp2_s	Razor + unique peptides pool_p	Razor + unique peptides pool_s	Razor + unique peptides wt_p	Razor + unique peptides wt_s	Unique peptides blank	Unique peptides clp1_p	Unique peptides clp1_s	Unique peptides clp2_p	Unique peptides clp2_s	Unique peptides pool_p	Unique peptides pool_s	Unique peptides wt_p	Unique peptides wt_s	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Q-value	Score	Sequence coverage blank [%]	Sequence coverage clp1_p [%]	Sequence coverage clp1_s [%]	Sequence coverage clp2_p [%]	Sequence coverage clp2_s [%]	Sequence coverage pool_p [%]	Sequence coverage pool_s [%]	Sequence coverage wt_p [%]	Sequence coverage wt_s [%]	Intensity	Intensity blank	Intensity clp1_p	Intensity clp1_s	Intensity clp2_p	Intensity clp2_s	Intensity pool_p	Intensity pool_s	Intensity wt_p	Intensity wt_s	iBAQ	iBAQ blank	iBAQ clp1_p	iBAQ clp1_s	iBAQ clp2_p	iBAQ clp2_s	iBAQ pool_p	iBAQ pool_s	iBAQ wt_p	iBAQ wt_s	LFQ intensity blank	LFQ intensity clp1_p	LFQ intensity clp1_s	LFQ intensity clp2_p	LFQ intensity clp2_s	LFQ intensity pool_p	LFQ intensity pool_s	LFQ intensity wt_p	LFQ intensity wt_s	MS/MS count blank	MS/MS count clp1_p	MS/MS count clp1_s	MS/MS count clp2_p	MS/MS count clp2_s	MS/MS count pool_p	MS/MS count pool_s	MS/MS count wt_p	MS/MS count wt_s	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
AT1G23560.2;AT1G23560.1	AT1G23560.2;AT1G23560.1	1;1	1;1	1;1	AT1G23560.2 | OBP32pep%2C putative (DUF220) | Chr1:8352802-8354145 REVERSE LENGTH=332 | 201606;AT1G23560.1 | OBP32pep%2C putative (DUF220) | Chr1:8352802-8354145 REVERSE LENGTH=332 | 201606	2	1	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	3.6	3.6	3.6	38.601	332	332;332	1	2	0.0097451	2.2179	0	0	0	0	3.6	0	0	0	3.6	6254300	0	0	0	0	3474500	0	0	0	2779800	446740	0	0	0	0	248180	0	0	0	198560	0	0	0	0	0	0	0	0	49789	0	0	0	0	1	0	0	0	1	2				120	5654	True	5809	68878;68879	73103;73104	73104		
AT1G23800.1;AT1G23800.2	AT1G23800.1	9;4	8;3	8;3	AT1G23800.1 | aldehyde dehydrogenase 2B7 | Chr1:8412238-8414804 REVERSE LENGTH=534 | 201606	2	9	8	8	1	5	5	6	3	2	6	8	3	1	4	4	5	3	2	5	7	3	1	4	4	5	3	2	5	7	3	23	21.5	21.5	58.152	534	534;408	1	86	0	99.607	3.4	12.5	13.9	15.2	9	6.4	15.7	19.9	7.7	320550000	102050	56175000	35913000	65877000	40791000	3698000	14096000	64621000	39276000	11448000	3644.8	2006200	1282600	2352800	1456800	132070	503420	2307900	1402700	0	1650500	680830	2153600	686420	0	1835400	2800300	711090	1	19	8	18	6	2	7	23	7	91				121	1813;2350;3417;5923;6903;7464;8049;8840;9033	True;True;True;True;True;True;True;False;True	1866;2415;3499;6103;7104;7677;8274;9080;9278	21650;27678;27679;27680;27681;27682;27683;27684;27685;27686;27687;27688;27689;27690;27691;41034;41035;41036;41037;41038;41039;41040;41041;41042;41043;41044;41045;41046;41047;41048;41049;41050;41051;41052;41053;72043;72044;72045;72046;72047;72048;72049;72050;72051;72052;72053;72054;72055;72056;72057;72058;83178;83179;83180;83181;83182;83183;83184;83185;83186;83187;83188;83189;83190;83191;83192;83193;83194;83195;83196;83197;83198;83199;83200;83201;83202;90326;90327;90328;90329;90330;98412;98413;108218;108219;108220;108221;108222;108223;108224;108225;108226;108227;108228;110602;110603;110604	22925;29361;29362;29363;29364;29365;29366;29367;29368;29369;29370;29371;29372;29373;29374;43535;43536;43537;43538;43539;43540;43541;43542;43543;43544;43545;43546;43547;43548;43549;43550;43551;43552;43553;43554;43555;43556;43557;43558;43559;43560;43561;76515;76516;76517;76518;76519;76520;76521;76522;76523;76524;76525;76526;76527;76528;76529;76530;76531;88353;88354;88355;88356;88357;88358;88359;88360;88361;88362;88363;88364;88365;88366;88367;88368;88369;88370;88371;88372;88373;88374;88375;88376;88377;88378;88379;95997;95998;95999;96000;96001;104565;104566;114970;114971;114972;114973;114974;114975;114976;114977;114978;114979;114980;117485;117486;117487	22925;29368;43547;76526;88376;95998;104566;114973;117486		
AT1G24180.1	AT1G24180.1	31	24	24	AT1G24180.1 | Thiamin diphosphate-binding fold (THDP-binding) superfamily protein | Chr1:8560777-8563382 REVERSE LENGTH=393 | 201606	1	31	24	24	7	25	17	22	17	13	18	24	17	6	18	13	16	14	10	13	18	12	6	18	13	16	14	10	13	18	12	60.3	49.4	49.4	43.358	393	393	1	362	0	137.19	20.4	53.9	37.9	48.3	39.4	28.8	42.5	49.1	35.1	6674100000	9194200	1021100000	1027900000	726430000	1214400000	181290000	214200000	795020000	1484500000	333710000	459710	51057000	51395000	36321000	60722000	9064400	10710000	39751000	74227000	26041000	24974000	16524000	24441000	16522000	20350000	28729000	28779000	21706000	9	67	45	56	47	14	15	68	49	370				122	1117;1118;1134;1148;1149;1241;2021;2082;2695;2696;2803;2804;4253;4295;4444;4445;5151;5152;5153;5467;5599;5929;6494;6554;6556;6631;7176;7385;7871;8145;9053	True;True;True;True;True;True;True;True;True;True;False;False;True;True;True;True;True;True;True;True;False;True;True;False;True;False;True;True;False;True;False	1147;1148;1165;1179;1180;1276;2079;2142;2766;2767;2876;2877;4367;4411;4565;4566;5286;5287;5288;5607;5745;5746;6109;6689;6750;6752;6827;7381;7596;8091;8372;9298;9299	13414;13415;13416;13417;13418;13419;13420;13421;13422;13423;13424;13425;13426;13427;13428;13429;13430;13431;13432;13433;13434;13435;13436;13702;13703;13704;13705;13706;13707;13708;13709;13710;13711;13712;13713;13714;13880;13881;13882;13883;13884;13885;13886;13887;13888;13889;13890;13891;13892;13893;13894;13895;13896;13897;13898;13899;13900;13901;13902;13903;13904;13905;13906;13907;13908;13909;13910;13911;13912;13913;13914;13915;13916;13917;13918;13919;13920;13921;13922;13923;13924;13925;13926;13927;13928;13929;13930;13931;13932;13933;13934;13935;13936;13937;13938;13939;13940;13941;13942;13943;13944;13945;15233;15234;15235;15236;15237;15238;15239;15240;15241;15242;15243;15244;15245;23774;24491;24492;24493;24494;24495;24496;24497;24498;24499;24500;24501;24502;24503;24504;24505;24506;24507;24508;24509;24510;24511;24512;24513;24514;31950;31951;31952;31953;31954;33375;33376;33377;33378;33379;33380;33381;33382;33383;33384;33385;33386;33387;33388;33389;52091;52654;52655;52656;52657;52658;52659;52660;52661;52662;52663;52664;52665;52666;52667;52668;52669;52670;52671;52672;52673;52674;52675;54863;54864;54865;54866;54867;54868;54869;54870;54871;54872;54873;54874;54875;54876;54877;54878;54879;54880;54881;54882;54883;54884;54885;54886;54887;54888;54889;54890;54891;54892;54893;54894;54895;54896;54897;54898;54899;54900;54901;54902;54903;54904;54905;54906;54907;54908;54909;63180;63181;63182;63183;63184;63185;63186;63187;63188;63189;63190;63191;63192;63193;63194;63195;63196;63197;63198;63199;66782;66783;66784;66785;66786;66787;66788;66789;66790;66791;66792;66793;66794;66795;66796;66797;66798;66799;66800;66801;66802;66803;66804;66805;66806;66807;66808;66809;68315;68316;68317;68318;68319;68320;68321;68322;68323;68324;68325;68326;68327;68328;68329;68330;68331;68332;68333;68334;68335;68336;68337;68338;68339;68340;68341;68342;72095;72096;72097;72098;78684;78685;79215;79216;79217;79228;79229;79230;79231;79232;79233;79234;79235;79236;79237;79238;79239;79240;79241;79242;79243;79244;79245;80121;80122;80123;80124;80125;80126;80127;80128;80129;80130;80131;80132;80133;80134;80135;80136;80137;80138;80139;80140;80141;80142;80143;80144;86457;86458;89155;89156;89157;89158;89159;89160;89161;89162;89163;89164;89165;89166;89167;89168;89169;89170;89171;89172;89173;89174;89175;89176;89177;89178;89179;89180;89181;89182;89183;89184;89185;89186;89187;89188;89189;89190;89191;89192;89193;89194;89195;89196;89197;89198;89199;96084;96085;96086;96087;96088;96089;96090;96091;96092;96093;99607;99608;99609;99610;99611;99612;99613;99614;99615;99616;99617;99618;99619;99620;99621;99622;99623;99624;99625;99626;99627;99628;99629;99630;99631;99632;99633;99634;110858;110859;110860;110861;110862;110863;110864;110865;110866;110867;110868;110869;110870;110871;110872;110873;110874;110875;110876;110877;110878;110879;110880;110881;110882;110883;110884;110885;110886;110887;110888;110889;110890;110891;110892;110893;110894	14182;14183;14184;14185;14186;14187;14188;14189;14190;14191;14192;14193;14194;14195;14196;14197;14198;14199;14200;14201;14202;14203;14204;14492;14493;14494;14495;14496;14497;14498;14499;14500;14501;14502;14503;14504;14505;14676;14677;14678;14679;14680;14681;14682;14683;14684;14685;14686;14687;14688;14689;14690;14691;14692;14693;14694;14695;14696;14697;14698;14699;14700;14701;14702;14703;14704;14705;14706;14707;14708;14709;14710;14711;14712;14713;14714;14715;14716;14717;14718;14719;14720;14721;14722;14723;14724;14725;14726;14727;14728;14729;14730;14731;14732;14733;14734;14735;14736;14737;14738;14739;14740;14741;14742;16086;16087;16088;16089;16090;16091;16092;16093;16094;16095;16096;16097;16098;25213;25983;25984;25985;25986;25987;25988;25989;25990;25991;25992;25993;25994;25995;25996;25997;25998;25999;26000;26001;26002;26003;26004;26005;26006;33870;33871;33872;33873;33874;35415;35416;35417;35418;35419;35420;35421;35422;35423;35424;35425;35426;35427;35428;35429;55241;55831;55832;55833;55834;55835;55836;55837;55838;55839;55840;55841;55842;55843;55844;55845;55846;55847;55848;55849;55850;55851;55852;58192;58193;58194;58195;58196;58197;58198;58199;58200;58201;58202;58203;58204;58205;58206;58207;58208;58209;58210;58211;58212;58213;58214;58215;58216;58217;58218;58219;58220;58221;58222;58223;58224;58225;58226;58227;58228;58229;58230;58231;58232;58233;58234;58235;58236;58237;58238;67070;67071;67072;67073;67074;67075;67076;67077;67078;67079;67080;67081;67082;67083;67084;67085;67086;67087;67088;67089;67090;70866;70867;70868;70869;70870;70871;70872;70873;70874;70875;70876;70877;70878;70879;70880;70881;70882;70883;70884;70885;70886;70887;70888;70889;70890;70891;70892;70893;70894;72498;72499;72500;72501;72502;72503;72504;72505;72506;72507;72508;72509;72510;72511;72512;72513;72514;72515;72516;72517;72518;72519;72520;72521;72522;72523;72524;72525;72526;72527;76580;76581;76582;76583;83588;83589;84143;84144;84145;84156;84157;84158;84159;84160;84161;84162;84163;84164;84165;84166;84167;84168;84169;84170;84171;84172;84173;85099;85100;85101;85102;85103;85104;85105;85106;85107;85108;85109;85110;85111;85112;85113;85114;85115;85116;85117;85118;85119;85120;85121;85122;91855;91856;94767;94768;94769;94770;94771;94772;94773;94774;94775;94776;94777;94778;94779;94780;94781;94782;94783;94784;94785;94786;94787;94788;94789;94790;94791;94792;94793;94794;94795;94796;94797;94798;94799;94800;94801;94802;94803;94804;94805;94806;94807;94808;94809;94810;94811;94812;94813;94814;94815;94816;94817;94818;94819;102082;102083;102084;102085;102086;102087;102088;102089;102090;102091;105847;105848;105849;105850;105851;105852;105853;105854;105855;105856;105857;105858;105859;105860;105861;105862;105863;105864;105865;105866;105867;105868;105869;105870;105871;105872;105873;105874;105875;117754;117755;117756;117757;117758;117759;117760;117761;117762;117763;117764;117765;117766;117767;117768;117769;117770;117771;117772;117773;117774;117775;117776;117777;117778;117779;117780;117781;117782;117783;117784;117785;117786;117787;117788;117789;117790;117791;117792	14182;14201;14502;14684;14733;16096;25213;25989;33870;33874;35415;35425;55241;55847;58217;58237;67073;67089;67090;70889;72525;76581;83589;84144;84171;85120;91856;94768;102085;105865;117779	16;17	287;297
AT1G24240.1;AT4G11630.1;AT5G11750.1;AT1G24240.2;AT5G11750.2	AT1G24240.1;AT4G11630.1;AT5G11750.1;AT1G24240.2;AT5G11750.2	2;2;2;1;1	2;2;2;1;1	2;2;2;1;1	AT1G24240.1 | Ribosomal protein L19 family protein | Chr1:8586431-8587970 FORWARD LENGTH=222 | 201606;AT4G11630.1 | Ribosomal protein L19 family protein | Chr4:7019793-7021068 FORWARD LENGTH=225 | 201606;AT5G11750.1 | Ribosomal protein L19 family protein |	5	2	2	2	0	2	1	1	1	1	0	1	1	0	2	1	1	1	1	0	1	1	0	2	1	1	1	1	0	1	1	10.8	10.8	10.8	25.068	222	222;225;229;158;253	1	20	0	5.5184	0	10.8	6.8	6.8	6.8	6.8	0	6.8	6.8	128060000	0	5790100	27876000	7241600	49762000	11520000	0	5566800	20302000	11642000	0	526370	2534200	658330	4523800	1047200	0	506070	1845600	0	0	668430	0	744500	0	0	0	429080	0	2	4	2	6	2	0	2	2	20				123	3443;5837	True;True	3525;6015	41549;41550;41551;41552;41553;41554;41555;41556;41557;41558;41559;41560;41561;41562;41563;41564;41565;41566;41567;71011	44095;44096;44097;44098;44099;44100;44101;44102;44103;44104;44105;44106;44107;44108;44109;44110;44111;44112;44113;75429	44098;75429		
AT1G24280.1;AT5G35790.1	AT1G24280.1	6;1	3;0	3;0	AT1G24280.1 | glucose-6-phosphate dehydrogenase 3 | Chr1:8609495-8612383 FORWARD LENGTH=599 | 201606	2	6	3	3	0	5	0	1	0	0	1	3	0	0	2	0	0	0	0	0	2	0	0	2	0	0	0	0	0	2	0	15	9.3	9.3	67.358	599	599;576	1	10	0	7.704	0	11.7	0	1.8	0	0	1.8	7.8	0	14009000	0	8318600	0	0	0	0	0	5690600	0	412030	0	244660	0	0	0	0	0	167370	0	0	278570	0	0	0	0	0	0	0	0	8	0	0	0	0	0	4	0	12				124	1033;2478;3083;3980;6149;6952	True;False;False;False;True;True	1063;2546;3161;4086;6337;7153	12322;29173;36725;36726;36727;36728;36729;36730;36731;36732;36733;36734;36735;36736;48774;48775;75027;75028;75029;75030;75031;75032;83984;83985;83986	13030;30953;38883;38884;38885;38886;38887;38888;38889;38890;38891;38892;38893;38894;51765;51766;79699;79700;79701;79702;79703;79704;89218;89219;89220;89221;89222	13030;30953;38891;51765;79700;89221		
AT1G24340.1	AT1G24340.1	3	3	3	AT1G24340.1 | FAD/NAD(P)-binding oxidoreductase family protein | Chr1:8635416-8638866 FORWARD LENGTH=709 | 201606	1	3	3	3	0	2	2	2	2	0	1	2	1	0	2	2	2	2	0	1	2	1	0	2	2	2	2	0	1	2	1	6.8	6.8	6.8	78.32	709	709	1	20	0	13.224	0	5.4	5.4	5.4	5.4	0	3.2	4.7	3.2	36642000	0	5717800	5090400	6732400	9402200	0	1276600	3467800	4955100	832780	0	129950	115690	153010	213690	0	29014	78814	112620	0	198260	142570	212360	146140	0	0	0	0	0	3	2	4	5	0	2	4	2	22				125	3523;3586;9091	True;True;True	3608;3671;9339	42724;43689;43690;43691;43692;111514;111515;111516;111517;111518;111519;111520;111521;111522;111523;111524;111525;111526;111527;111528	45340;46353;46354;46355;46356;118460;118461;118462;118463;118464;118465;118466;118467;118468;118469;118470;118471;118472;118473;118474;118475;118476;118477;118478	45340;46354;118474		
AT1G24360.1	AT1G24360.1	2	2	2	AT1G24360.1 | NAD(P)-binding Rossmann-fold superfamily protein | Chr1:8640820-8643283 FORWARD LENGTH=319 | 201606	1	2	2	2	0	1	2	0	0	0	0	0	1	0	1	2	0	0	0	0	0	1	0	1	2	0	0	0	0	0	1	8.5	8.5	8.5	33.548	319	319	1	6	0	3.7381	0	5.6	8.5	0	0	0	0	0	2.8	8568900	0	0	5903700	0	0	0	0	0	2665200	535550	0	0	368980	0	0	0	0	0	166570	0	0	101510	0	0	0	0	0	0	0	1	4	0	0	0	0	0	1	6				126	843;6350	True;True	866;6543	9783;9784;9785;9786;77293;77294	10303;10304;10305;10306;82093;82094	10304;82093		
AT1G24610.1	AT1G24610.1	4	4	4	AT1G24610.1 | Rubisco methyltransferase family protein | Chr1:8720906-8722711 REVERSE LENGTH=476 | 201606	1	4	4	4	0	3	1	3	1	0	2	2	1	0	3	1	3	1	0	2	2	1	0	3	1	3	1	0	2	2	1	9.7	9.7	9.7	52.589	476	476	1	21	0	10.322	0	7.8	3.2	6.5	3.2	0	5.7	5.7	3.2	34088000	0	8180500	2014000	8324500	1967800	0	2620600	9613300	1367700	1482100	0	355680	87566	361930	85557	0	113940	417970	59465	0	317300	0	246310	0	0	313610	317850	0	0	4	1	5	2	0	2	7	1	22				127	1692;3848;3955;8721	True;True;True;True	1741;3944;4058;8957	20171;20172;47229;47230;47231;47232;47233;47234;47235;47236;48465;106853;106854;106855;106856;106857;106858;106859;106860;106861;106862	21367;21368;50127;50128;50129;50130;50131;50132;50133;50134;50135;51425;113517;113518;113519;113520;113521;113522;113523;113524;113525;113526	21368;50135;51425;113526		
AT1G25380.2;AT1G25380.1	AT1G25380.2;AT1G25380.1	5;5	5;5	5;5	AT1G25380.2 | NAD+ transporter 2 | Chr1:8903726-8905818 FORWARD LENGTH=363 | 201606;AT1G25380.1 | NAD+ transporter 2 | Chr1:8903726-8905818 FORWARD LENGTH=363 | 201606	2	5	5	5	0	0	4	0	3	2	0	0	3	0	0	4	0	3	2	0	0	3	0	0	4	0	3	2	0	0	3	18.7	18.7	18.7	39.496	363	363;363	1	25	0	11.787	0	0	12.7	0	12.4	5.5	0	0	8.5	189830000	0	0	56118000	0	54344000	5942100	0	0	73426000	8628700	0	0	2550800	0	2470200	270100	0	0	3337600	0	0	1055600	0	980860	0	0	0	1199300	0	0	9	0	6	2	0	0	8	25				128	4103;5287;5312;5582;6557	True;True;True;True;True	4215;5423;5449;5726;6753	50273;50274;50275;50276;64814;64815;64816;64817;64818;64819;65128;68086;79246;79247;79248;79249;79250;79251;79252;79253;79254;79255;79256;79257;79258	53336;53337;53338;53339;68789;68790;68791;68792;68793;68794;69114;72248;84174;84175;84176;84177;84178;84179;84180;84181;84182;84183;84184;84185;84186	53337;68793;69114;72248;84185		
AT1G26460.1	AT1G26460.1	12	12	12	AT1G26460.1 | Tetratricopeptide repeat (TPR)-like superfamily protein | Chr1:9151816-9154407 FORWARD LENGTH=630 | 201606	1	12	12	12	3	8	6	8	7	4	6	8	6	3	8	6	8	7	4	6	8	6	3	8	6	8	7	4	6	8	6	27.5	27.5	27.5	70.234	630	630	1	149	0	81.548	9.4	16.5	14.6	18.1	17.9	8.6	14.6	15.9	14.6	1878100000	3979600	188000000	378960000	142320000	678910000	37372000	37928000	91378000	319260000	67076000	142130	6714400	13534000	5082900	24247000	1334700	1354600	3263500	11402000	0	5551800	5748700	5703800	6639500	5272400	5185500	5752000	4962700	3	25	24	17	26	4	6	22	23	150				129	1914;1915;2677;3116;3975;4215;6731;7190;7507;7576;8020;8531	True;True;True;True;True;True;True;True;True;True;True;True	1969;1970;2748;3196;4081;4329;6928;7395;7721;7792;8245;8765	22563;22564;22565;22566;22567;22568;22569;22570;22571;22572;22573;22574;22575;22576;22577;22578;22579;22580;22581;22582;22583;22584;22585;22586;22587;22588;22589;31761;37056;37057;37058;37059;37060;37061;37062;37063;37064;37065;37066;37067;37068;37069;37070;37071;37072;37073;37074;37075;37076;37077;37078;37079;37080;37081;37082;37083;37084;37085;48714;48715;48716;48717;48718;48719;48720;48721;48722;48723;48724;48725;48726;48727;48728;48729;48730;48731;48732;48733;48734;48735;48736;48737;48738;48739;51610;81171;81172;81173;81174;81175;81176;81177;81178;81179;81180;81181;81182;81183;81184;81185;81186;81187;81188;81189;81190;81191;81192;81193;81194;81195;86600;86601;86602;86603;86604;86605;86606;86607;90891;91964;91965;91966;97970;97971;97972;97973;97974;97975;97976;97977;97978;97979;97980;97981;97982;97983;97984;97985;97986;97987;97988;97989;97990;97991;97992;97993;97994;104507;104508	23894;23895;23896;23897;23898;23899;23900;23901;23902;23903;23904;23905;23906;23907;23908;23909;23910;23911;23912;23913;23914;23915;23916;23917;23918;23919;23920;23921;33673;39239;39240;39241;39242;39243;39244;39245;39246;39247;39248;39249;39250;39251;39252;39253;39254;39255;39256;39257;39258;39259;39260;39261;39262;39263;39264;39265;39266;39267;39268;51699;51700;51701;51702;51703;51704;51705;51706;51707;51708;51709;51710;51711;51712;51713;51714;51715;51716;51717;51718;51719;51720;51721;51722;51723;51724;51725;54739;86190;86191;86192;86193;86194;86195;86196;86197;86198;86199;86200;86201;86202;86203;86204;86205;86206;86207;86208;86209;86210;86211;86212;86213;86214;92015;92016;92017;92018;92019;92020;92021;92022;96583;97725;97726;97727;104071;104072;104073;104074;104075;104076;104077;104078;104079;104080;104081;104082;104083;104084;104085;104086;104087;104088;104089;104090;104091;104092;104093;104094;104095;111021;111022	23916;23921;33673;39242;51722;54739;86210;92019;96583;97726;104081;111021		
AT1G26630.2;AT1G26630.1;AT1G13950.1	AT1G26630.2;AT1G26630.1;AT1G13950.1	2;2;1	2;2;1	1;1;0	AT1G26630.2 | Eukaryotic translation initiation factor 5A-1 (eIF-5A 1) protein | Chr1:9205968-9207013 FORWARD LENGTH=138 | 201606;AT1G26630.1 | Eukaryotic translation initiation factor 5A-1 (eIF-5A 1) protein | Chr1:9205968-9207098 FORWARD LENGTH=159 | 201	3	2	2	1	0	0	1	0	2	1	0	1	2	0	0	1	0	2	1	0	1	2	0	0	1	0	1	1	0	1	1	25.4	25.4	11.6	15.103	138	138;159;158	1	16	0	16.717	0	0	11.6	0	25.4	11.6	0	11.6	25.4	21768000	0	0	5347900	0	10273000	0	0	767760	5379300	2721000	0	0	668490	0	1284200	0	0	95970	672410	0	0	0	0	218350	0	0	0	0	0	0	4	0	6	1	0	2	5	18				130	4420;6759	True;True	4541;6957	54470;54471;81473;81474;81475;81476;81477;81478;81479;81480;81481;81482;81483;81484;81485;81486	57771;57772;86498;86499;86500;86501;86502;86503;86504;86505;86506;86507;86508;86509;86510;86511;86512;86513	57771;86499		
AT1G26740.1	AT1G26740.1	1	1	1	AT1G26740.1 | Ribosomal L32p protein family | Chr1:9245280-9246555 REVERSE LENGTH=134 | 201606	1	1	1	1	0	0	1	0	1	1	0	1	1	0	0	1	0	1	1	0	1	1	0	0	1	0	1	1	0	1	1	7.5	7.5	7.5	14.799	134	134	1	14	0.004075	2.9145	0	0	7.5	0	7.5	7.5	0	7.5	7.5	128310000	0	0	42390000	0	47482000	5684600	0	1573300	31175000	21384000	0	0	7065100	0	7913600	947440	0	262220	5195800	0	0	0	0	0	0	0	0	534660	0	0	4	0	4	1	0	1	4	14				131	541	True	549	6412;6413;6414;6415;6416;6417;6418;6419;6420;6421;6422;6423;6424;6425	6757;6758;6759;6760;6761;6762;6763;6764;6765;6766;6767;6768;6769;6770	6760		
AT1G26750.1	AT1G26750.1	2	2	2	AT1G26750.1 | hypothetical protein | Chr1:9246857-9248053 FORWARD LENGTH=195 | 201606	1	2	2	2	0	1	1	0	2	0	0	0	0	0	1	1	0	2	0	0	0	0	0	1	1	0	2	0	0	0	0	11.3	11.3	11.3	22.046	195	195	1	8	0.002551	3.2723	0	6.2	6.2	0	11.3	0	0	0	0	28642000	0	3386000	10369000	0	14887000	0	0	0	0	2864200	0	338600	1036900	0	1488700	0	0	0	0	0	0	0	0	272030	0	0	0	0	0	2	2	0	4	0	0	0	0	8				132	602;5898	True;True	614;6077	7018;7019;7020;7021;7022;7023;7024;71669	7401;7402;7403;7404;7405;7406;7407;76111	7407;76111		
AT1G26880.2;AT1G69620.1;AT1G26880.1	AT1G26880.2;AT1G69620.1;AT1G26880.1	1;1;1	1;1;1	1;1;1	AT1G26880.2 | Ribosomal protein L34e superfamily protein | Chr1:9315798-9316681 REVERSE LENGTH=96 | 201606;AT1G69620.1 | ribosomal protein L34 | Chr1:26189900-26191081 FORWARD LENGTH=119 | 201606;AT1G26880.1 | Ribosomal protein L34e superfamily protein | C	3	1	1	1	1	0	1	0	1	1	0	0	1	1	0	1	0	1	1	0	0	1	1	0	1	0	1	1	0	0	1	12.5	12.5	12.5	10.973	96	96;119;120	1	14	0	4.2427	12.5	0	12.5	0	12.5	12.5	0	0	12.5	55513000	41951	0	17937000	0	16941000	3086700	0	0	17507000	18504000	13984	0	5978800	0	5647000	1028900	0	0	5835700	0	0	0	0	0	0	0	0	301960	1	0	7	0	4	1	0	0	5	18				133	990	True	1018	11687;11688;11689;11690;11691;11692;11693;11694;11695;11696;11697;11698;11699;11700	12362;12363;12364;12365;12366;12367;12368;12369;12370;12371;12372;12373;12374;12375;12376;12377;12378;12379	12373		
AT1G27090.1	AT1G27090.1	2	2	2	AT1G27090.1 | glycine-rich protein | Chr1:9404041-9406098 REVERSE LENGTH=420 | 201606	1	2	2	2	0	0	1	0	2	0	0	0	2	0	0	1	0	2	0	0	0	2	0	0	1	0	2	0	0	0	2	5.7	5.7	5.7	46.018	420	420	1	7	0	7.0936	0	0	2.9	0	5.7	0	0	0	5.7	12348000	0	0	6647100	0	3325900	0	0	0	2374600	536850	0	0	289000	0	144600	0	0	0	103240	0	0	132980	0	0	0	0	0	0	0	0	3	0	1	0	0	0	2	6				134	814;4128	True;True	836;4240	9531;9532;50488;50489;50490;50491;50492	10043;10044;53558;53559;53560;53561;53562	10044;53561		
AT1G27390.1;AT1G27390.2	AT1G27390.1	9;4	9;4	9;4	AT1G27390.1 | translocase outer membrane 20-2 | Chr1:9513469-9514912 REVERSE LENGTH=210 | 201606	2	9	9	9	0	0	7	6	7	7	0	4	8	0	0	7	6	7	7	0	4	8	0	0	7	6	7	7	0	4	8	40.5	40.5	40.5	23.17	210	210;154	1	89	0	32.641	0	0	32.4	32.9	32.4	32.4	0	28.6	36.2	705070000	0	0	215320000	31430000	197690000	31029000	0	9347800	220250000	54237000	0	0	16563000	2417700	15207000	2386900	0	719060	16943000	0	0	2498900	2182000	2679800	2480500	0	969230	2726700	0	0	25	7	19	7	0	5	26	89				135	225;226;853;4500;4821;5022;5198;5883;8883	True;True;True;True;True;True;True;True;True	227;228;876;4621;4949;5153;5333;6062;9124	2672;2673;2674;2675;2676;2677;2678;2679;2680;2681;2682;2683;2684;2685;2686;2687;2688;2689;2690;2691;2692;2693;2694;2695;2696;2697;2698;9938;9939;9940;9941;9942;9943;9944;9945;9946;55382;55383;55384;55385;55386;55387;55388;55389;55390;55391;55392;55393;55394;55395;55396;59035;59036;59037;59038;59039;59040;59041;59042;59043;61402;63625;71495;71496;71497;71498;71499;71500;71501;71502;71503;71504;71505;71506;71507;108619;108620;108621;108622;108623;108624;108625;108626;108627;108628;108629;108630;108631;108632	2824;2825;2826;2827;2828;2829;2830;2831;2832;2833;2834;2835;2836;2837;2838;2839;2840;2841;2842;2843;2844;2845;2846;2847;2848;2849;2850;2851;10469;10470;10471;10472;10473;10474;10475;10476;10477;58739;58740;58741;58742;58743;58744;58745;58746;58747;58748;58749;58750;58751;58752;58753;62610;62611;62612;62613;62614;62615;62616;62617;62618;65141;67531;75933;75934;75935;75936;75937;75938;75939;75940;75941;75942;75943;75944;75945;75946;115383;115384;115385;115386;115387;115388;115389;115390;115391;115392;115393;115394;115395;115396	2834;2851;10477;58740;62618;65141;67531;75943;115392		
