Supplemental Data1:  Measurements of Protein degradation rates in hydroponic plants Arabidopsis,,,,,,,,,,,,,
Criteria: 1. Quantified KD at least two biological Replicates. 2.At least three peptides were used for KD Measurements.3. Outliers in Major Fun Cats (no less than 4 proteins) were highlighted by Red-Bold Fonts.,,,,,,,,,,,,,
AGI,Anno,Location SUBAcon,bincode,binname,Functional Categories (no less than 4 proteins at the 2nd level Mapcave of binname),WTR1 KD (FCP=2.73),WTR2 KD (FCP=2.51),WTR3 KD (FCP=2.64),WT KD (Average),Rep NO,SD,Pep NO,KD Value Rank (1-455)
"AT2G30970.1, AT2G30970.2","  Symbols: ASP1   aspartate aminotransferase 1   chr2:13179012-13181686 FORWARD LENGTH=430,  Symbols: ASP1   aspartate aminotransferase 1   chr2:13179012-13181686 FORWARD LENGTH=430",mitochondrion,#13.1.1.2.1,amino acid metabolism.synthesis.central amino acid metabolism.aspartate.aspartate aminotransferase,AA Synthesis,0,0.01,0.01,0,3,0.01,65,67
"AT3G59760.1, AT3G59760.3","  Symbols: OASC, ATCS-C   O-acetylserine (thiol) lyase isoform C   chr3:22072119-22075345 REVERSE LENGTH=433,  Symbols: OASC, ATCS-C   O-acetylserine (thiol) lyase isoform C   chr3:22072668-22075345 REVERSE LENGTH=430",mitochondrion,#13.1.5.3.1,amino acid metabolism.synthesis.serine-glycine-cysteine group.cysteine.OASTL,AA Synthesis,0.05,0.08,0.06,0.06,3,0,6,245
AT1G17290.1,  Symbols: AlaAT1   alanine aminotransferas   chr1:5922771-5926093 FORWARD LENGTH=543,mitochondrion,#13.1.1.3.1,amino acid metabolism.synthesis.central amino acid metabolism.alanine.alanine aminotransferase,AA Synthesis,0.09,0.09,0.09,0.09,3,0.01,21,318
AT4G39660.1,  Symbols: AGT2   alanine:glyoxylate aminotransferase 2   chr4:18406797-18409262 FORWARD LENGTH=476,mitochondrion,#13.1.1.3.11,amino acid metabolism.synthesis.central amino acid metabolism.alanine.alanine-glyoxylate aminotransferase,AA Synthesis,0.11,0.12,0.11,0.11,3,0,39,349
AT5G65720.1,"  Symbols: ATNIFS1, NIFS1, NFS1, ATNFS1   nitrogen fixation S (NIFS)-like 1   chr5:26296349-26297710 FORWARD LENGTH=453",mitochondrion,#13.1.5.3,amino acid metabolism.synthesis.serine-glycine-cysteine group.cysteine,AA Synthesis,0.12,0.1,0.14,0.11,3,0.03,11,356
AT3G61440.1,"  Symbols: ATCYSC1, ARATH;BSAS3;1, CYSC1   cysteine synthase C1   chr3:22735885-22737792 FORWARD LENGTH=368",mitochondrion,#13.1.5.3.1,amino acid metabolism.synthesis.serine-glycine-cysteine group.cysteine.OASTL,AA Synthesis,0.14,0.13,0.13,0.13,3,0.01,20,376
AT3G13110.1,"  Symbols: ATSERAT2;2, SAT-1, SAT-A, SAT3, SAT-M, SERAT2;2   serine acetyltransferase 2;2   chr3:4214939-4216114 REVERSE LENGTH=391",mitochondrion,#13.1.5.3.2,amino acid metabolism.synthesis.serine-glycine-cysteine group.cysteine.SAT,AA Synthesis,0.23,0.23,0.25,0.23,3,0.01,20,433
"AT3G27280.1, AT3G27280.2","  Symbols: ATPHB4, PHB4   prohibitin 4   chr3:10076904-10078051 FORWARD LENGTH=279,  Symbols: ATPHB4, PHB4   prohibitin 4   chr3:10076904-10078051 FORWARD LENGTH=279",mitochondrion,#31.2,cell.division,Cell Division,-0.02,-0.02,-0.03,-0.02,3,0.01,20,12
AT5G40770.1,"  Symbols: ATPHB3, PHB3   prohibitin 3   chr5:16315589-16316621 REVERSE LENGTH=277",mitochondrion,#31.2,cell.division,Cell Division,0.01,0.02,0.02,0.02,3,0.01,23,98
AT3G01800.1,  Symbols:    Ribosome recycling factor   chr3:286020-287543 FORWARD LENGTH=267,mitochondrion,#31.2,cell.division,Cell Division,0.09,0.09,0.1,0.09,3,0.01,24,322
AT2G38670.1,  Symbols: PECT1   phosphorylethanolamine cytidylyltransferase 1   chr2:16168979-16171680 FORWARD LENGTH=421,mitochondrion,#31.2,cell.division,Cell Division,0.13,0.15,0.15,0.14,3,0.01,11,384
"AT2G20530.1, AT2G20530.2","  Symbols: ATPHB6, PHB6   prohibitin 6   chr2:8842300-8843787 FORWARD LENGTH=286,  Symbols: ATPHB6, PHB6   prohibitin 6   chr2:8842300-8843787 FORWARD LENGTH=286",mitochondrion,#9.1.1,mitochondrial electron transport / ATP synthesis.NADH-DH.complex I,Complex I,0,0,0,0,3,0.01,23,53
AT4G28510.1,"  Symbols: ATPHB1, PHB1   prohibitin 1   chr4:14084970-14086372 REVERSE LENGTH=288",mitochondrion,#9.1.1,mitochondrial electron transport / ATP synthesis.NADH-DH.complex I,Complex I,0.01,0.01,0,0,3,0.01,25,64
AT4G28220.1,  Symbols: NDB1   NAD(P)H dehydrogenase B1   chr4:13993078-13995651 FORWARD LENGTH=571,mitochondrion,#9.2.1.2,mitochondrial electron transport / ATP synthesis.NADH-DH.type II.external,Complex I,0.03,0.02,0.03,0.02,3,0.01,19,115
AT1G14450.1,  Symbols:    NADH dehydrogenase (ubiquinone)s   chr1:4947337-4947558 REVERSE LENGTH=73,mitochondrion,#9.1.1,mitochondrial electron transport / ATP synthesis.NADH-DH.complex I,Complex I,0.05,0.04,0.03,0.03,3,0.02,3,146
"AT5G63510.1, AT5G63510.2","  Symbols: GAMMA CAL1   gamma carbonic anhydrase like 1   chr5:25424054-25425612 FORWARD LENGTH=252,  Symbols: GAMMA CAL1   gamma carbonic anhydrase like 1   chr5:25424054-25425612 FORWARD LENGTH=279",mitochondrion,#9.1.1.5,mitochondrial electron transport / ATP synthesis.NADH-DH.complex I.carbonic anhydrase,Complex I,0.04,0.04,0.04,0.04,3,0.01,12,153
"AT3G18410.1, AT3G18410.2","  Symbols:    Complex I subunit NDUFS6   chr3:6323203-6323761 FORWARD LENGTH=106,  Symbols:    Complex I subunit NDUFS6   chr3:6323203-6323761 FORWARD LENGTH=106",mitochondrion,#9.1.2,mitochondrial electron transport / ATP synthesis.NADH-DH.localisation not clear,Complex I,0.04,0.03,0.05,0.04,3,0.02,6,154
AT1G19580.1,  Symbols: GAMMA CA1   gamma carbonic anhydrase 1   chr1:6774937-6777092 FORWARD LENGTH=275,mitochondrion,#9.1.1.5,mitochondrial electron transport / ATP synthesis.NADH-DH.complex I.carbonic anhydrase,Complex I,0.05,0.04,0.04,0.04,3,0.01,8,176
"ATMG00285.1, ATMG01320.1","  Symbols: NAD2A, NAD2.1, NAD2   NADH dehydrogenase 2A   chrM:79740-81297 REVERSE LENGTH=499,  Symbols: NAD2B, NAD2.2, NAD2   NADH dehydrogenase 2B   chrM:327890-333105 REVERSE LENGTH=499",mitochondrion,#9.1.2,mitochondrial electron transport / ATP synthesis.NADH-DH.localisation not clear,Complex I,0.06,0.06,0.02,0.05,3,0.03,6,184
"ATMG00060.1, ATMG00513.1, ATMG00665.1","  Symbols: NAD5C, NAD5.3, NAD5   NADH dehydrogenase subunit 5C   chrM:20571-22086 REVERSE LENGTH=669,  Symbols: NAD5A, NAD5.1, NAD5   NADH dehydrogenase 5A   chrM:140724-142998 REVERSE LENGTH=669,  Symbols: NAD5B, NAD5.2, NAD5   NADH dehydrogenase 5B   chrM:190740-190761 REVERSE LENGTH=669",mitochondrion,#9.1.2,mitochondrial electron transport / ATP synthesis.NADH-DH.localisation not clear,Complex I,0.05,0.04,0.06,0.05,3,0.02,13,202
AT1G47260.1,"  Symbols: APFI, GAMMA CA2   gamma carbonic anhydrase 2   chr1:17321384-17323347 REVERSE LENGTH=278",mitochondrion,#9.1.1.5,mitochondrial electron transport / ATP synthesis.NADH-DH.complex I.carbonic anhydrase,Complex I,0.04,0.06,0.06,0.05,3,0.01,42,205
"ATMG00516.1, ATMG01120.1, ATMG01275.1","  Symbols: NAD1C, NAD1   NADH dehydrogenase 1C   chrM:143219-147048 REVERSE LENGTH=325,  Symbols: NAD1B, NAD1   NADH dehydrogenase 1B   chrM:287917-289083 REVERSE LENGTH=325,  Symbols: NAD1A, NAD1, ND1   NADH dehydrogenase 1A   chrM:318004-318390 REVERSE LENGTH=325",mitochondrion,#9.1.2,mitochondrial electron transport / ATP synthesis.NADH-DH.localisation not clear,Complex I,0.06,0.05,0.05,0.05,3,0.02,8,215
AT3G48680.1,  Symbols: GAMMA CAL2   gamma carbonic anhydrase-like 2   chr3:18035107-18036773 FORWARD LENGTH=256,mitochondrion,#9.1.1.5,mitochondrial electron transport / ATP synthesis.NADH-DH.complex I.carbonic anhydrase,Complex I,0.05,0.06,0.06,0.05,3,0.01,9,216
AT2G02050.1,"  Symbols:    NADH-ubiquinone oxidoreductase B18 subunit, putative   chr2:490024-490335 FORWARD LENGTH=103",mitochondrion,#9.1.2,mitochondrial electron transport / ATP synthesis.NADH-DH.localisation not clear,Complex I,0.05,0.06,0.06,0.06,3,0.01,13,234
AT1G49140.1,  Symbols:    Complex I subunit NDUFS6   chr1:18177696-18178269 REVERSE LENGTH=107,mitochondrion,#9.1.2,mitochondrial electron transport / ATP synthesis.NADH-DH.localisation not clear,Complex I,0.06,0.06,0.07,0.06,3,0.01,3,246
ATMG00070.1,  Symbols: NAD9   NADH dehydrogenase subunit 9   chrM:23663-24235 REVERSE LENGTH=190,mitochondrion,#9.1.2,mitochondrial electron transport / ATP synthesis.NADH-DH.localisation not clear,Complex I,0.07,0.07,0.07,0.07,3,0.01,27,265
ATMG00580.1,  Symbols: NAD4   NADH dehydrogenase subunit 4   chrM:161693-169674 FORWARD LENGTH=495,mitochondrion,#9.1.2,mitochondrial electron transport / ATP synthesis.NADH-DH.localisation not clear,Complex I,0.07,0.06,0.1,0.07,3,0.03,3,281
ATMG00510.1,  Symbols: NAD7   NADH dehydrogenase subunit 7   chrM:132071-138153 FORWARD LENGTH=394,mitochondrion,#9.1.2,mitochondrial electron transport / ATP synthesis.NADH-DH.localisation not clear,Complex I,0.09,0.07,0.08,0.08,3,0.02,18,289
AT5G52840.1,  Symbols:    NADH-ubiquinone oxidoreductase-related   chr5:21413718-21414794 FORWARD LENGTH=169,mitochondrion,#9.1.2,mitochondrial electron transport / ATP synthesis.NADH-DH.localisation not clear,Complex I,0.09,0.08,0.08,0.08,3,0.01,30,290
AT5G66510.1,  Symbols: GAMMA CA3   gamma carbonic anhydrase 3   chr5:26550016-26551496 REVERSE LENGTH=258,mitochondrion,#9.1.1.5,mitochondrial electron transport / ATP synthesis.NADH-DH.complex I.carbonic anhydrase,Complex I,0.08,0.09,0.08,0.08,3,0.01,3,293
"AT4G05020.1, AT4G05020.2","  Symbols: NDB2   NAD(P)H dehydrogenase B2   chr4:2572752-2576222 FORWARD LENGTH=582,  Symbols: NDB2   NAD(P)H dehydrogenase B2   chr4:2572752-2576222 FORWARD LENGTH=619",mitochondrion,#9.2.1.2,mitochondrial electron transport / ATP synthesis.NADH-DH.type II.external,Complex I,0.1,0.06,0.09,0.08,3,0.03,26,299
AT4G02580.1,"  Symbols:    NADH-ubiquinone oxidoreductase 24 kDa subunit, putative   chr4:1134586-1136906 FORWARD LENGTH=255",mitochondrion,#9.1.2,mitochondrial electron transport / ATP synthesis.NADH-DH.localisation not clear,Complex I,0.09,0.1,0.11,0.1,3,0.01,28,328
AT4G26965.1,"  Symbols:    NADH:ubiquinone oxidoreductase, 17.2kDa subunit   chr4:13539717-13542041 FORWARD LENGTH=184",mitochondrion,#9.1.2,mitochondrial electron transport / ATP synthesis.NADH-DH.localisation not clear,Complex I,0.1,0.1,0.12,0.1,3,0.02,3,332
AT5G47890.1,"  Symbols:    NADH-ubiquinone oxidoreductase B8 subunit, putative   chr5:19388806-19390409 FORWARD LENGTH=97",mitochondrion,#9.1.2,mitochondrial electron transport / ATP synthesis.NADH-DH.localisation not clear,Complex I,0.11,0.1,0.11,0.1,3,0.02,5,336
AT2G29990.1,  Symbols: NDA2   alternative NAD(P)H dehydrogenase 2   chr2:12793562-12795913 REVERSE LENGTH=508,mitochondrion,#9.2.1.4,mitochondrial electron transport / ATP synthesis.NADH-DH.type II.internal matrix,Complex I,0.06,0.13,0.14,0.11,3,0.04,3,344
AT1G16700.1,  Symbols:    Alpha-helical ferredoxin   chr1:5710012-5711694 FORWARD LENGTH=222,mitochondrion,#9.1.2,mitochondrial electron transport / ATP synthesis.NADH-DH.localisation not clear,Complex I,0.12,0.12,0.13,0.12,3,0.01,4,362
AT1G79010.1,  Symbols:    Alpha-helical ferredoxin   chr1:29725138-29726933 REVERSE LENGTH=222,mitochondrion,#9.1.2,mitochondrial electron transport / ATP synthesis.NADH-DH.localisation not clear,Complex I,0.14,0.13,0.13,0.13,3,0.02,4,378
"AT5G37510.1, AT5G37510.2","  Symbols: EMB1467, CI76   NADH-ubiquinone dehydrogenase, mitochondrial, putative   chr5:14897490-14900352 FORWARD LENGTH=745,  Symbols: EMB1467, CI76   NADH-ubiquinone dehydrogenase, mitochondrial, putative   chr5:14897490-14900447 FORWARD LENGTH=748",mitochondrion,#9.1.2,mitochondrial electron transport / ATP synthesis.NADH-DH.localisation not clear,Complex I,0.13,0.14,0.14,0.14,3,0.01,74,380
AT3G27890.1,  Symbols: NQR   NADPH:quinone oxidoreductase   chr3:10350807-10351938 REVERSE LENGTH=196,mitochondrion,#9.1.1,mitochondrial electron transport / ATP synthesis.NADH-DH.complex I,Complex I,0.14,0.16,0.15,0.15,3,0,13,389
AT2G20360.1,  Symbols:    NAD(P)-binding Rossmann-fold superfamily protein   chr2:8786070-8789098 FORWARD LENGTH=402,mitochondrion,#9.1.2,mitochondrial electron transport / ATP synthesis.NADH-DH.localisation not clear,Complex I,0.15,0.15,0.15,0.15,3,0.01,50,391
AT5G08530.1,  Symbols: CI51   51 kDa subunit of complex I   chr5:2759848-2761726 REVERSE LENGTH=486,mitochondrion,#9.1.2,mitochondrial electron transport / ATP synthesis.NADH-DH.localisation not clear,Complex I,0.15,0.16,0.17,0.16,3,0.01,35,402
AT5G67590.1,  Symbols: FRO1   NADH-ubiquinone oxidoreductase-related   chr5:26958073-26959356 FORWARD LENGTH=154,mitochondrion,#9.1.2,mitochondrial electron transport / ATP synthesis.NADH-DH.localisation not clear,Complex I,0.21,0.22,0.23,0.22,3,0.01,22,427
AT3G12260.1,  Symbols:    LYR family of Fe/S cluster biogenesis protein   chr3:3909252-3910337 REVERSE LENGTH=133,mitochondrion,#9.1.1,mitochondrial electron transport / ATP synthesis.NADH-DH.complex I,Complex I,0.22,0.21,0.23,0.22,3,0.02,35,428
AT5G11770.1,"  Symbols:    NADH-ubiquinone oxidoreductase 20 kDa subunit, mitochondrial   chr5:3791148-3792929 REVERSE LENGTH=218",mitochondrion,#9.1.2,mitochondrial electron transport / ATP synthesis.NADH-DH.localisation not clear,Complex I,0.25,0.25,0.27,0.26,3,0.01,10,442
AT3G03100.1,"  Symbols:    NADH:ubiquinone oxidoreductase, 17.2kDa subunit   chr3:705564-707578 REVERSE LENGTH=159",mitochondrion,#9.1.2,mitochondrial electron transport / ATP synthesis.NADH-DH.localisation not clear,Complex I,0.27,0.27,0.28,0.27,3,0.01,3,443
"AT2G07727.1, ATMG00220.1","  Symbols:    Di-haem cytochrome, transmembrane;Cytochrome b/b6, C-terminal   chr2:3450863-3452044 FORWARD LENGTH=393,  Symbols: COB   apocytochrome b   chrM:60235-61416 FORWARD LENGTH=393",mitochondrion,#9.5,mitochondrial electron transport / ATP synthesis.cytochrome c reductase,Complex III,0.07,0.05,0.06,0.06,3,0.02,9,231
"AT5G13430.1, AT5G13440.1","  Symbols:    Ubiquinol-cytochrome C reductase iron-sulfur subunit   chr5:4305414-4307399 REVERSE LENGTH=272,  Symbols:    Ubiquinol-cytochrome C reductase iron-sulfur subunit   chr5:4308431-4310022 REVERSE LENGTH=274",mitochondrion,#9.5,mitochondrial electron transport / ATP synthesis.cytochrome c reductase,Complex III,0.09,0.1,0.1,0.1,3,0.01,29,325
AT5G25450.1,"  Symbols:    Cytochrome bd ubiquinol oxidase, 14kDa subunit   chr5:8857036-8857849 FORWARD LENGTH=122",mitochondrion,#9.5,mitochondrial electron transport / ATP synthesis.cytochrome c reductase,Complex III,0.12,0.08,0.1,0.1,3,0.03,5,326
"AT3G10860.1, AT5G05370.1","  Symbols:    Cytochrome b-c1 complex, subunit 8 protein   chr3:3399815-3400514 FORWARD LENGTH=72,  Symbols:    Cytochrome b-c1 complex, subunit 8 protein   chr5:1590977-1591869 REVERSE LENGTH=72",mitochondrion,#9.5,mitochondrial electron transport / ATP synthesis.cytochrome c reductase,Complex III,0.1,0.11,0.1,0.1,3,0.01,3,333
AT3G52730.1,  Symbols:    ubiquinol-cytochrome C reductase UQCRX/QCR9-like family protein   chr3:19543146-19544167 REVERSE LENGTH=72,mitochondrion,#9.5,mitochondrial electron transport / ATP synthesis.cytochrome c reductase,Complex III,0.1,0.11,0.1,0.1,3,0.01,10,334
AT4G32470.1,"  Symbols:    Cytochrome bd ubiquinol oxidase, 14kDa subunit   chr4:15669641-15671095 REVERSE LENGTH=122",mitochondrion,#9.5,mitochondrial electron transport / ATP synthesis.cytochrome c reductase,Complex III,0.12,0.13,0.13,0.12,3,0.01,9,367
ATMG00160.1,  Symbols: COX2   cytochrome oxidase 2   chrM:40502-42628 REVERSE LENGTH=260,mitochondrion,#9.7,mitochondrial electron transport / ATP synthesis.cytochrome c oxidase,Complex IV,0.02,-0.01,0.03,0.01,3,0.03,7,82
AT2G47380.1,  Symbols:    Cytochrome c oxidase subunit Vc family protein   chr2:19441694-19441888 FORWARD LENGTH=64,mitochondrion,#9.7,mitochondrial electron transport / ATP synthesis.cytochrome c oxidase,Complex IV,0.02,0,0.03,0.02,3,0.03,5,93
"AT2G07687.1, ATMG00730.1","  Symbols:    Cytochrome c oxidase, subunit III   chr2:3311854-3312651 REVERSE LENGTH=265,  Symbols: COX3   cytochrome c oxidase subunit 3   chrM:218280-219077 FORWARD LENGTH=265",mitochondrion,#9.7,mitochondrial electron transport / ATP synthesis.cytochrome c oxidase,Complex IV,0.03,0,0.06,0.03,3,0.04,3,129
AT3G17910.1,  Symbols: SURF1   Surfeit locus 1 cytochrome c oxidase biogenesis protein   chr3:6133581-6136053 FORWARD LENGTH=354,mitochondrion,#9.7,mitochondrial electron transport / ATP synthesis.cytochrome c oxidase,Complex IV,0.04,0.03,0.03,0.03,3,0.02,11,130
AT1G22450.1,"  Symbols: COX6B, ATCOX6B2   cytochrome C oxidase 6B   chr1:7925447-7926918 FORWARD LENGTH=191",mitochondrion,#9.7,mitochondrial electron transport / ATP synthesis.cytochrome c oxidase,Complex IV,0.03,0.03,0.04,0.03,3,0.01,11,136
ATMG01360.1,  Symbols: COX1   cytochrome  oxidase   chrM:349830-351413 REVERSE LENGTH=527,mitochondrion,#9.7,mitochondrial electron transport / ATP synthesis.cytochrome c oxidase,Complex IV,0.04,,0.02,0.03,2,0.02,4,149
AT3G08950.1,  Symbols: HCC1   electron transport SCO1/SenC family protein   chr3:2727285-2729289 FORWARD LENGTH=334,mitochondrion,#9.7,mitochondrial electron transport / ATP synthesis.cytochrome c oxidase,Complex IV,0.05,0.08,0.05,0.06,3,0.01,9,228
AT1G80230.1,  Symbols:    Rubredoxin-like superfamily protein   chr1:30169784-30170999 REVERSE LENGTH=171,mitochondrion,#9.7,mitochondrial electron transport / ATP synthesis.cytochrome c oxidase,Complex IV,0.07,0.05,0.08,0.06,3,0.02,12,250
AT1G02410.1,  Symbols:    cytochrome c oxidase assembly protein CtaG / Cox11 family   chr1:491300-492762 FORWARD LENGTH=287,mitochondrion,#9.7,mitochondrial electron transport / ATP synthesis.cytochrome c oxidase,Complex IV,0.12,0.15,0.18,0.15,3,0.03,3,392
AT4G37830.1,  Symbols:    cytochrome c oxidase-related   chr4:17787672-17788762 REVERSE LENGTH=102,mitochondrion,#9.7,mitochondrial electron transport / ATP synthesis.cytochrome c oxidase,Complex IV,0.27,,0.28,0.28,2,0,6,447
"AT4G26210.1, AT4G26210.2","  Symbols:    Mitochondrial ATP synthase subunit G protein   chr4:13282370-13283118 FORWARD LENGTH=122,  Symbols:    Mitochondrial ATP synthase subunit G protein   chr4:13282370-13283118 FORWARD LENGTH=122",mitochondrion,#9.9,mitochondrial electron transport / ATP synthesis.F1-ATPase ,Complex V,-0.03,-0.01,-0.01,-0.02,3,0.01,3,24
AT4G29480.1,  Symbols:    Mitochondrial ATP synthase subunit G protein   chr4:14486265-14487257 REVERSE LENGTH=122,mitochondrion,#9.9,mitochondrial electron transport / ATP synthesis.F1-ATPase ,Complex V,0.01,0.02,0.02,0.01,3,0.01,12,90
"AT2G19680.1, AT2G19680.2","  Symbols:    Mitochondrial ATP synthase subunit G protein   chr2:8501865-8502622 FORWARD LENGTH=122,  Symbols:    Mitochondrial ATP synthase subunit G protein   chr2:8501865-8502622 FORWARD LENGTH=122",mitochondrion,#9.9,mitochondrial electron transport / ATP synthesis.F1-ATPase ,Complex V,0.03,0.02,0.02,0.02,3,0.02,6,101
"AT3G46430.1, AT5G59613.1, AT5G59613.2","  Symbols:    unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: mitochondrion, mitochondrial respiratory chain complex III; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 15 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT5G59613.2); Has 51 Blast hits to 51 proteins in 16 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 51; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).   chr3:17087687-17088497 FORWARD LENGTH=55,  Symbols:    unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G46430.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).   chr5:24016162-24016500 REVERSE LENGTH=55,  Symbols:    unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: mitochondrial respiratory chain complex III; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G46430.1).   chr5:24015726-24016500 REVERSE LENGTH=55",mitochondrion,#9.9,mitochondrial electron transport / ATP synthesis.F1-ATPase ,Complex V,0.01,0.07,0.06,0.05,3,0.02,4,185
