name,ID,clp1p__vs_wtp__p.val,clp1s__vs_wts__p.val,clp2p__vs_wtp__p.val,clp2s__vs_wts__p.val,clp1p__vs_wtp__p.adj,clp1s__vs_wts__p.adj,clp2p__vs_wtp__p.adj,clp2s__vs_wts__p.adj,clp1p__vs_wtp__significant,clp1s__vs_wts__significant,clp2p__vs_wtp__significant,clp2s__vs_wts__significant,significant,clp1p__vs_wtp__ratio,clp1s__vs_wts__ratio,clp2p__vs_wtp__ratio,clp2s__vs_wts__ratio,clp1p__centered,clp1s__centered,clp2p__centered,clp2s__centered,wtp__centered,wts__centered
B8,AT5G47890.1,2.491210138913206e-4,0.044679105872191344,0.009431391636046593,0.06613840268437467,0.00106,0.157,0.0465,0.709,TRUE,FALSE,TRUE,FALSE,TRUE,3,1.44,2.08,1.3,0.362,1.42,-0.553,1.29,-2.64,-0.0171
BEST Arabidopsis thaliana protein match is: mucin-related (TAIR:AT2G02880.1),AT5G62270.1,1.9731172001182575e-4,0.0023777605900663933,0.00945321985700716,0.0055550698884761895,7.51e-4,0.00618,0.0466,0.259,TRUE,TRUE,TRUE,FALSE,TRUE,0.657,0.501,0.446,0.447,-0.0557,0.508,-0.266,0.454,-0.712,0.00653
BGLU23,AT3G09260.1,0.09399045358616562,0.9770226458594211,0.010085310588009266,0.9723680945170046,0.32,0.864,0.0486,0.94,FALSE,FALSE,TRUE,FALSE,TRUE,-2.18,0.0362,-3.82,-0.0435,-4.86,4.18,-6.5,4.1,-2.68,4.14
BIO2,AT2G43360.1,5.407595287220394e-5,2.0032495954837914e-4,3.079699698870287e-4,4.57488003868716e-4,1.01e-4,8.91e-5,0.00151,0.0649,TRUE,TRUE,TRUE,FALSE,TRUE,2.2,1.96,2.03,1.8,1.27,0.319,1.09,0.164,-0.934,-1.64
BOU,AT5G46800.3,0.11335024361795916,0.4534675578224513,0.009397717536314566,0.467827803453838,0.356,0.736,0.0464,0.903,FALSE,FALSE,TRUE,FALSE,TRUE,-0.702,-0.324,-1.32,-0.313,-2.31,1.93,-2.93,1.94,-1.61,2.25
CA1,AT1G19580.1,0.4042250716111967,0.9410092063015645,0.005979985129127056,0.9581253160683445,0.641,0.859,0.033,0.939,FALSE,FALSE,TRUE,FALSE,TRUE,-0.302,0.0266,-1.18,0.0189,-2.08,2.04,-2.97,2.03,-1.78,2.02
CA3,AT5G66510.1,0.030076761769336914,0.8185648670551624,0.007607211532426398,0.6463671323523483,0.162,0.84,0.0399,0.921,FALSE,FALSE,TRUE,FALSE,TRUE,-1.42,-0.141,-1.95,-0.283,-3.24,2.63,-3.77,2.49,-1.82,2.77
CAC2,AT5G35360.1,0.19779083904952,0.797610837514835,0.007363543444710675,0.5739240053557544,0.48,0.837,0.0389,0.915,FALSE,FALSE,TRUE,FALSE,TRUE,-0.288,-0.0561,-0.698,-0.123,0.807,-0.729,0.397,-0.797,1.1,-0.673
CBR2,AT5G20080.1,1.0254490600702999e-4,0.5492124475386291,1.8614458527605856e-4,0.6761923289933465,2.6e-4,0.774,7.84e-4,0.923,TRUE,FALSE,TRUE,FALSE,TRUE,-0.705,-0.0883,-0.721,-0.0614,-0.286,-0.0075,-0.301,0.0194,0.419,0.0808
CICDH,AT1G65930.1,0.2722976513496991,2.075960749824941e-4,0.23989335723370747,0.5232232926287135,0.555,9.41e-5,0.36,0.91,FALSE,TRUE,FALSE,FALSE,TRUE,-0.342,-1.38,-0.397,-0.197,-0.0441,-0.915,-0.0985,0.269,0.298,0.466
CLPP2,AT5G23140.1,4.161181897149504e-13,1.7539571966464663e-12,3.160858627974168e-13,8.085160547687989e-12,4.73e-14,5.11e-14,5.93e-14,1.66e-13,TRUE,TRUE,TRUE,TRUE,TRUE,-5.3,-4.89,-5.81,-4.49,-1.98,-1.58,-2.5,-1.18,3.31,3.31
CLPX,AT5G53350.1,1.77550479918916e-6,1.4112972822506251e-5,1.1753781869386559e-5,8.2883654979402e-7,8.27e-8,1.64e-7,7.29e-6,2.55e-5,TRUE,TRUE,TRUE,TRUE,TRUE,0.845,0.722,0.791,0.892,0.403,0.11,0.349,0.28,-0.442,-0.612
Co-chaperone GrpE family protein,AT5G55200.1,6.980743710653365e-4,0.002952718118437279,6.478738360887644e-4,0.0018446554210542257,0.00453,0.00801,0.0038,0.163,TRUE,TRUE,TRUE,FALSE,TRUE,0.656,0.554,0.714,0.587,0.492,-0.0732,0.55,-0.0396,-0.164,-0.627
COX6B-1,AT1G22450.1,0.003127410782939616,0.3222598518152284,7.547194776033371e-4,0.7433940757331929,0.0278,0.656,0.00444,0.928,TRUE,FALSE,TRUE,FALSE,TRUE,-1.06,-0.318,-1.35,0.104,-2.11,1.41,-2.4,1.83,-1.05,1.72
CPN21,AT5G20720.4,0.4929281928842356,0.003386849158291797,0.21819430556434544,0.3932169196709614,0.681,0.00936,0.344,0.892,FALSE,TRUE,FALSE,FALSE,TRUE,-0.352,1.68,-0.693,0.44,1.61,-0.534,1.27,-1.78,1.96,-2.22
CSY4,AT2G44350.4,0.0066912682212133985,0.006398164081470728,0.007923341580505627,0.05678432485799681,0.0522,0.0226,0.0411,0.685,FALSE,TRUE,TRUE,FALSE,TRUE,-0.366,-0.368,-0.385,-0.244,0.436,-0.681,0.417,-0.557,0.802,-0.313
CYC11,AT3G27240.1,0.0084650612607239,0.9078532131617388,2.061169225144177e-5,0.9492500852292357,0.0616,0.854,2.19e-5,0.939,FALSE,FALSE,TRUE,FALSE,TRUE,-1.6,0.0639,-3.29,-0.0351,-3.02,2.71,-4.71,2.61,-1.42,2.65
CYSC1,AT3G61440.1,0.03572261303913293,0.031343467505842534,0.0052451986839378364,1.8088849618016556e-4,0.18,0.116,0.03,0.0291,FALSE,FALSE,TRUE,TRUE,TRUE,-0.285,-0.293,-0.429,-0.583,0.279,-0.315,0.135,-0.605,0.563,-0.0227
"Dihydrolipoyllysine-residue acetyltransferase component 2 of pyruvate dehydrogenase complex, mitochondrial",AT3G13930.1,0.1995728575477846,0.010650618907300726,0.34444847271350154,0.012012261195898896,0.483,0.0406,0.439,0.4,FALSE,TRUE,FALSE,FALSE,TRUE,-0.16,-0.341,-0.126,-0.335,0.00805,-0.185,0.042,-0.179,0.168,0.156
DTC,AT5G19760.1,0.0019546951938454447,0.8420064767278326,0.0054494034527706086,0.7599665047189714,0.0167,0.844,0.0309,0.929,TRUE,FALSE,TRUE,FALSE,TRUE,-2.93,-0.165,-2.76,-0.253,-5.01,3.55,-4.85,3.47,-2.09,3.72
DUF543,AT1G72170.1,0.0031610332380970314,0.34403041852550487,0.010439832128543781,0.4709741615454569,0.0281,0.672,0.0497,0.904,TRUE,FALSE,TRUE,FALSE,TRUE,-0.884,-0.254,-0.803,-0.193,-2.03,1.44,-1.95,1.5,-1.15,1.69
E1-BETA-2,AT2G34590.1,0.003991161842120915,0.03903411986978788,1.091320265618717e-4,0.2354347283507782,0.035,0.14,3.49e-4,0.854,TRUE,FALSE,TRUE,FALSE,TRUE,-1.17,-0.795,-1.88,-0.44,-0.159,-0.452,-0.864,-0.0968,1.01,0.343
EFTS,AT4G11120.1,4.729178421887974e-4,0.0020921112313814338,0.0010830329124474584,0.10905407849789288,0.00265,0.00522,0.00686,0.776,TRUE,TRUE,TRUE,FALSE,TRUE,0.552,0.467,0.545,0.221,0.731,-0.246,0.724,-0.492,0.178,-0.713
elongation factor family protein,AT2G31060.2,0.0035038078607309737,1.809587773481879e-4,0.015182649729672615,1.3655732458556482e-4,0.031,7.55e-5,0.0658,0.0222,TRUE,TRUE,FALSE,TRUE,TRUE,0.485,0.673,0.419,0.691,0.39,0.0384,0.325,0.0564,-0.0942,-0.635
EMB1796,AT3G49240.1,0.0041591340296553035,0.79146459950552706,0.004222506789290111,0.04920989749553663,0.0363,0.835,0.0253,0.663,TRUE,FALSE,TRUE,FALSE,TRUE,0.696,-0.0574,0.75,0.45,0.199,-0.152,0.254,0.355,-0.497,-0.095
Expressed protein,AT4G25315.2,0.007067611996696122,0.45479123260162024,0.008022975988624965,0.13087292280514978,0.0541,0.736,0.0415,0.797,FALSE,FALSE,TRUE,FALSE,TRUE,-0.939,0.238,-0.995,0.492,-0.741,0.375,-0.797,0.629,0.198,0.137
GDCST,AT1G11860.2,0.003968090855054507,0.036884704583088256,0.010550326973182183,0.04369794392744993,0.0348,0.133,0.05,0.643,TRUE,FALSE,FALSE,FALSE,TRUE,-0.416,-0.285,-0.389,-0.275,0.048,-0.288,0.0749,-0.277,0.464,-0.00277
GDH2,AT2G35120.1,0.02303816843830976,0.02039287781509307,0.0025878502880539163,0.004069948341052136,0.135,0.0816,0.0165,0.23,FALSE,FALSE,TRUE,FALSE,TRUE,-0.327,-0.335,-0.495,-0.432,0.334,-0.453,0.166,-0.55,0.661,-0.118
GFA2,AT5G48030.1,4.985601834781575e-5,0.0010129490984259566,1.4320348564317946e-4,5.785981503037165e-4,9.01e-5,0.00178,5.36e-4,0.0769,TRUE,TRUE,TRUE,FALSE,TRUE,1.74,1.29,1.71,1.37,-0.407,1.36,-0.437,1.44,-2.14,0.0701
GLDH,AT3G47930.1,0.021110939215244588,0.7316418475684608,0.0026098888314905525,0.5430516835366337,0.126,0.824,0.0166,0.912,FALSE,FALSE,TRUE,FALSE,TRUE,-0.564,-0.0781,-0.838,-0.139,-2.95,2.58,-3.23,2.52,-2.39,2.66
GLDP1,AT4G33010.1,0.0016324858140301854,0.0033137476115943716,0.011416780823686095,0.005712983254943338,0.0136,0.00914,0.0527,0.264,TRUE,TRUE,FALSE,FALSE,TRUE,0.474,0.433,0.391,0.402,0.752,-0.356,0.669,-0.387,0.278,-0.789
GLDP2,AT2G26080.1,2.8065731510225155e-4,6.126356156341523e-4,0.002913768446206589,0.005060918490351022,0.00125,7.6e-4,0.0183,0.248,TRUE,TRUE,TRUE,FALSE,TRUE,0.605,0.558,0.503,0.432,0.764,-0.245,0.662,-0.371,0.159,-0.803
GroES-like zinc-binding alcohol dehydrogenase family protein.2,AT5G63620.2,0.35156566305840997,0.4906615453415337,0.4393196629021495,1.0469735829143252e-5,0.612,0.752,0.493,0.00111,FALSE,FALSE,FALSE,TRUE,TRUE,-0.378,-0.278,-0.338,-2.34,0.799,-0.274,0.839,-2.34,1.18,0.00432
GRP23,AT1G10270.1,1.5420347319950063e-4,9.108761883296759e-7,2.978089107778523e-4,1.5724251900064704e-6,5.09e-4,2.62e-11,0.00145,6.28e-5,TRUE,TRUE,TRUE,TRUE,TRUE,1.39,2.1,1.41,2.02,0.694,0.55,0.713,0.469,-0.697,-1.55
GSA1,AT5G63570.1,0.307916023113069,0.6577654364648853,0.0013687233465050077,0.5506415067353467,0.582,0.806,0.0088,0.912,FALSE,FALSE,TRUE,FALSE,TRUE,-0.315,0.135,-1.22,-0.183,0.319,-0.0208,-0.582,-0.339,0.634,-0.156
GSA2,AT5G63570.1,0.3186612069984821,0.12795994078020329,6.667587155434459e-5,0.5955367854513174,0.59,0.393,1.6e-4,0.917,FALSE,FALSE,TRUE,FALSE,TRUE,-0.214,-0.332,-1.14,0.113,0.464,-0.524,-0.465,-0.0786,0.678,-0.191
GSH1,AT4G23100.3,0.42653115819129905,0.8952143381088273,0.004793348579932982,0.17853376364295492,0.652,0.853,0.028,0.829,FALSE,FALSE,TRUE,FALSE,TRUE,0.486,-0.0799,-2.06,-0.836,1.33,-0.193,-1.22,-0.949,0.842,-0.113
GYRBM,AT3G10270.1,0.137386349438815,0.3425939965568304,0.0012916567696120156,0.805465396189184,0.395,0.671,0.0083,0.931,FALSE,FALSE,TRUE,FALSE,TRUE,-0.513,0.322,-1.34,-0.0826,-0.142,0.41,-0.974,0.00509,0.371,0.0877
HLP,AT5G46160.2,0.5705716533964333,0.007660964030738423,0.7762541527008046,0.09287453943581926,0.709,0.0282,0.618,0.756,FALSE,TRUE,FALSE,FALSE,TRUE,0.182,0.94,-0.0983,0.558,-0.391,0.93,-0.671,0.548,-0.573,-0.0102
HSP23.5,AT5G51440.1,0.06360034795700058,0.0054835054862695486,0.07891355343537494,6.61448442573577e-4,0.255,0.0185,0.201,0.0846,FALSE,TRUE,FALSE,FALSE,TRUE,1.05,1.67,1.07,2.17,-0.117,0.845,-0.0981,1.34,-1.17,-0.826
HSP70-9,AT4G37910.2,6.509123125865218e-5,9.661918181950179e-5,2.2279410789128223e-5,5.669239573222548e-5,1.32e-4,2.23e-5,2.5e-5,0.00829,TRUE,TRUE,TRUE,TRUE,TRUE,0.565,0.546,0.669,0.572,0.279,0.0802,0.382,0.107,-0.287,-0.465
Hsp89.1,AT3G07770.3,0.013695501033601313,0.1077870448805831,0.008349518944603788,0.1904361436848168,0.0882,0.344,0.0427,0.835,FALSE,FALSE,TRUE,FALSE,TRUE,0.287,0.178,0.335,0.143,0.485,-0.29,0.533,-0.325,0.198,-0.468
IAR4,AT1G24180.1,0.08727492021467446,0.0033593394669877066,0.03377274893908674,0.0014015768740685667,0.306,0.00928,0.122,0.141,FALSE,TRUE,FALSE,FALSE,TRUE,-0.208,-0.387,-0.285,-0.431,0.141,-0.294,0.0641,-0.338,0.349,0.0929
ICL,AT3G21720.1,0.6875557752232446,0.19684054027841394,4.996686381996527e-4,5.859340987656684e-4,0.743,0.519,0.00283,0.0775,FALSE,FALSE,TRUE,FALSE,TRUE,0.0961,0.315,1.06,0.967,0.173,-0.481,1.14,0.172,0.0768,-0.795
IDH6,AT3G09810.1,0.12118403255817488,0.006674755288892527,0.1910358587807171,0.001743470754749171,0.369,0.0238,0.324,0.159,FALSE,TRUE,FALSE,FALSE,TRUE,-0.236,-0.442,-0.213,-0.529,0.353,-0.527,0.376,-0.613,0.589,-0.0843
KAS1,AT5G46290.2,0.10146786120670163,0.2000355986813884,0.005856858282581072,0.5021866178912258,0.334,0.524,0.0325,0.907,FALSE,FALSE,TRUE,FALSE,TRUE,-0.906,0.699,-1.76,0.36,0.41,-0.118,-0.447,-0.457,1.32,-0.817
Late embryogenesis abundant protein (LEA) family protein,AT4G21020.1,1.6246055809283786e-5,0.00121458844497502,9.601239860142445e-5,0.00396857657598548,1.17e-5,0.00232,2.87e-4,0.228,TRUE,TRUE,TRUE,FALSE,TRUE,1.89,1.26,1.76,1.09,0.768,0.439,0.632,0.266,-1.13,-0.82
LHCB2.2,AT2G05100.1,0.7504596974702514,0.0028163709569177845,0.3341683246521532,0.1522947397450068,0.758,0.00759,0.432,0.813,FALSE,TRUE,FALSE,FALSE,TRUE,-0.215,2.28,-0.714,0.994,-0.895,2.06,-1.39,0.775,-0.68,-0.219
LHCB2.4,AT2G05100.1,0.6891115572186925,0.0013121962785391183,0.8133625445491819,0.05878375380560318,0.743,0.00258,0.628,0.691,FALSE,TRUE,FALSE,FALSE,TRUE,-0.32,2.96,-0.203,1.58,-0.949,2.18,-0.833,0.803,-0.63,-0.778
LPD2,AT3G17240.3,0.06776479553447054,0.00869490738913653,0.1393613580638572,5.7447949147416344e-5,0.265,0.0327,0.278,0.00841,FALSE,TRUE,FALSE,TRUE,TRUE,-0.284,-0.429,-0.244,-0.753,-0.277,0.114,-0.237,-0.21,0.00713,0.543
MDH1,AT1G04410.1,0.030894668419780405,0.010475197853167764,0.042304300511638644,0.05940043122424171,0.165,0.0399,0.142,0.692,FALSE,TRUE,FALSE,FALSE,TRUE,-0.788,0.96,-0.795,0.678,-1.02,1.09,-1.02,0.804,-0.23,0.126
MED37D,AT5G02500.1,3.8458400937851103e-4,0.42976712761142355,0.9878979580545686,0.8515337966053953,0.00198,0.724,0.668,0.934,TRUE,FALSE,FALSE,FALSE,TRUE,-1.1,-0.206,-0.00425,-0.0486,-1.46,0.577,-0.365,0.735,-0.361,0.783
MEFG2,AT2G45030.1,1.0074980346557656e-4,9.194990246894511e-9,4.872224270611509e-5,1.2946141698748566e-8,2.53e-4,5.11e-14,9.73e-5,1.43e-9,TRUE,TRUE,TRUE,TRUE,TRUE,2,3.93,2.3,3.84,1.58,0.476,1.89,0.393,-0.415,-3.45
Mitochondrial ATP synthase subunit G protein.2,AT4G29480.1,0.005659373929579154,0.8106639605455848,0.002910153169881376,0.9242810194517697,0.0464,0.839,0.0183,0.937,TRUE,FALSE,TRUE,FALSE,TRUE,-1.46,-0.114,-1.73,-0.0453,-3.1,2.36,-3.36,2.42,-1.63,2.47
MORF8,AT3G15000.1,0.0017339732678915763,3.1677606274747645e-6,5.215037916925598e-4,1.7803582831909754e-5,0.0146,1.82e-9,0.00297,0.00225,TRUE,TRUE,TRUE,TRUE,TRUE,0.588,1.05,0.727,0.916,-0.296,0.825,-0.157,0.694,-0.884,-0.222
