Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides blank	Peptides clp1p_1	Peptides clp1p_2	Peptides clp1p_3	Peptides clp1p_4	Peptides clp1s_1	Peptides clp1s_2	Peptides clp1s_3	Peptides clp1s_4	Peptides clp2p_1	Peptides clp2p_2	Peptides clp2p_3	Peptides clp2p_4	Peptides clp2s_1	Peptides clp2s_2	Peptides clp2s_3	Peptides clp2s_4	Peptides pool_p	Peptides pool_s	Peptides wtp_1	Peptides wtp_2	Peptides wtp_3	Peptides wtp_4	Peptides wts_1	Peptides wts_2	Peptides wts_3	Peptides wts_4	Razor + unique peptides blank	Razor + unique peptides clp1p_1	Razor + unique peptides clp1p_2	Razor + unique peptides clp1p_3	Razor + unique peptides clp1p_4	Razor + unique peptides clp1s_1	Razor + unique peptides clp1s_2	Razor + unique peptides clp1s_3	Razor + unique peptides clp1s_4	Razor + unique peptides clp2p_1	Razor + unique peptides clp2p_2	Razor + unique peptides clp2p_3	Razor + unique peptides clp2p_4	Razor + unique peptides clp2s_1	Razor + unique peptides clp2s_2	Razor + unique peptides clp2s_3	Razor + unique peptides clp2s_4	Razor + unique peptides pool_p	Razor + unique peptides pool_s	Razor + unique peptides wtp_1	Razor + unique peptides wtp_2	Razor + unique peptides wtp_3	Razor + unique peptides wtp_4	Razor + unique peptides wts_1	Razor + unique peptides wts_2	Razor + unique peptides wts_3	Razor + unique peptides wts_4	Unique peptides blank	Unique peptides clp1p_1	Unique peptides clp1p_2	Unique peptides clp1p_3	Unique peptides clp1p_4	Unique peptides clp1s_1	Unique peptides clp1s_2	Unique peptides clp1s_3	Unique peptides clp1s_4	Unique peptides clp2p_1	Unique peptides clp2p_2	Unique peptides clp2p_3	Unique peptides clp2p_4	Unique peptides clp2s_1	Unique peptides clp2s_2	Unique peptides clp2s_3	Unique peptides clp2s_4	Unique peptides pool_p	Unique peptides pool_s	Unique peptides wtp_1	Unique peptides wtp_2	Unique peptides wtp_3	Unique peptides wtp_4	Unique peptides wts_1	Unique peptides wts_2	Unique peptides wts_3	Unique peptides wts_4	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Q-value	Score	Sequence coverage blank [%]	Sequence coverage clp1p_1 [%]	Sequence coverage clp1p_2 [%]	Sequence coverage clp1p_3 [%]	Sequence coverage clp1p_4 [%]	Sequence coverage clp1s_1 [%]	Sequence coverage clp1s_2 [%]	Sequence coverage clp1s_3 [%]	Sequence coverage clp1s_4 [%]	Sequence coverage clp2p_1 [%]	Sequence coverage clp2p_2 [%]	Sequence coverage clp2p_3 [%]	Sequence coverage clp2p_4 [%]	Sequence coverage clp2s_1 [%]	Sequence coverage clp2s_2 [%]	Sequence coverage clp2s_3 [%]	Sequence coverage clp2s_4 [%]	Sequence coverage pool_p [%]	Sequence coverage pool_s [%]	Sequence coverage wtp_1 [%]	Sequence coverage wtp_2 [%]	Sequence coverage wtp_3 [%]	Sequence coverage wtp_4 [%]	Sequence coverage wts_1 [%]	Sequence coverage wts_2 [%]	Sequence coverage wts_3 [%]	Sequence coverage wts_4 [%]	Intensity	Intensity blank	Intensity clp1p_1	Intensity clp1p_2	Intensity clp1p_3	Intensity clp1p_4	Intensity clp1s_1	Intensity clp1s_2	Intensity clp1s_3	Intensity clp1s_4	Intensity clp2p_1	Intensity clp2p_2	Intensity clp2p_3	Intensity clp2p_4	Intensity clp2s_1	Intensity clp2s_2	Intensity clp2s_3	Intensity clp2s_4	Intensity pool_p	Intensity pool_s	Intensity wtp_1	Intensity wtp_2	Intensity wtp_3	Intensity wtp_4	Intensity wts_1	Intensity wts_2	Intensity wts_3	Intensity wts_4	LFQ intensity blank	LFQ intensity clp1p_1	LFQ intensity clp1p_2	LFQ intensity clp1p_3	LFQ intensity clp1p_4	LFQ intensity clp1s_1	LFQ intensity clp1s_2	LFQ intensity clp1s_3	LFQ intensity clp1s_4	LFQ intensity clp2p_1	LFQ intensity clp2p_2	LFQ intensity clp2p_3	LFQ intensity clp2p_4	LFQ intensity clp2s_1	LFQ intensity clp2s_2	LFQ intensity clp2s_3	LFQ intensity clp2s_4	LFQ intensity pool_p	LFQ intensity pool_s	LFQ intensity wtp_1	LFQ intensity wtp_2	LFQ intensity wtp_3	LFQ intensity wtp_4	LFQ intensity wts_1	LFQ intensity wts_2	LFQ intensity wts_3	LFQ intensity wts_4	MS/MS count blank	MS/MS count clp1p_1	MS/MS count clp1p_2	MS/MS count clp1p_3	MS/MS count clp1p_4	MS/MS count clp1s_1	MS/MS count clp1s_2	MS/MS count clp1s_3	MS/MS count clp1s_4	MS/MS count clp2p_1	MS/MS count clp2p_2	MS/MS count clp2p_3	MS/MS count clp2p_4	MS/MS count clp2s_1	MS/MS count clp2s_2	MS/MS count clp2s_3	MS/MS count clp2s_4	MS/MS count pool_p	MS/MS count pool_s	MS/MS count wtp_1	MS/MS count wtp_2	MS/MS count wtp_3	MS/MS count wtp_4	MS/MS count wts_1	MS/MS count wts_2	MS/MS count wts_3	MS/MS count wts_4	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
AT1G68990.1;AT1G68990.2	AT1G68990.1;AT1G68990.2	3;3	3;3	3;3	AT1G68990.1 | male gametophyte defective 3 | Chr1:25935499-25940755 REVERSE LENGTH=976 | 201606;AT1G68990.2 | male gametophyte defective 3 | Chr1:25935499-25940755 REVERSE LENGTH=983 | 201606	2	3	3	3	0	1	1	1	1	1	1	2	1	1	1	2	0	2	1	2	2	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	2	1	1	1	2	0	2	1	2	2	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	2	1	1	1	2	0	2	1	2	2	1	0	0	0	0	0	0	0	0	0	3.7	3.7	3.7	110.93	976	976;983	1	21	0	19.421	0	1.6	1.6	1.6	1.6	1.6	1.6	2.7	1.6	1.6	1.6	2.7	0	2.7	1.6	2.7	2.7	1.6	0	0	0	0	0	0	0	0	0	76553000	0	1245600	1162900	1683000	1522700	6004100	6280300	8096400	8313500	1601200	970350	3092900	0	9692300	11285000	3610800	9301500	2690900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134590	0	0	0	0	0	137010	0	112960	129170	0	0	0	0	0	0	0	0	0	0	0	1	2	1	1	1	1	2	1	1	2	2	0	3	1	2	3	1	0	0	0	0	0	0	0	0	0	25				175	1209;5020;5194	True;True;True	1241;5174;5349	11579;49204;49205;49206;49207;49208;49209;49210;49211;49212;49213;49214;49215;49216;49217;49218;49219;50882;50883;50884;50885	12004;51261;51262;51263;51264;51265;51266;51267;51268;51269;51270;51271;51272;51273;51274;51275;51276;51277;51278;51279;51280;53018;53019;53020;53021	12004;51269;53021		
AT1G69740.3;AT1G69740.2;AT1G69740.1	AT1G69740.3;AT1G69740.2;AT1G69740.1	3;3;3	3;3;3	3;3;3	AT1G69740.3 | Aldolase superfamily protein | Chr1:26232197-26234713 FORWARD LENGTH=430 | 201606;AT1G69740.2 | Aldolase superfamily protein | Chr1:26232197-26234713 FORWARD LENGTH=430 | 201606;AT1G69740.1 | Aldolase superfamily protein | Chr1:26232197-26234	3	3	3	3	0	1	1	2	1	0	0	0	0	1	2	1	0	0	0	0	0	0	1	2	0	1	2	0	0	0	0	0	1	1	2	1	0	0	0	0	1	2	1	0	0	0	0	0	0	1	2	0	1	2	0	0	0	0	0	1	1	2	1	0	0	0	0	1	2	1	0	0	0	0	0	0	1	2	0	1	2	0	0	0	0	9.3	9.3	9.3	46.69	430	430;430;430	1	16	0	18.076	0	2.1	3.5	7.2	3.5	0	0	0	0	3.5	7.2	3.5	0	0	0	0	0	0	3.5	5.6	0	3.7	7.2	0	0	0	0	15306000	0	1182500	1095400	1812500	1916400	0	0	0	0	1247900	625530	1405700	0	0	0	0	0	0	1275000	2555800	0	882310	1306800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106010	0	0	0	0	0	0	0	0	1	1	2	1	0	0	0	0	1	2	1	0	0	0	0	0	0	1	2	0	1	3	0	0	0	0	16				176	197;2243;3958	True;True;True	198;2297;4087	1671;1672;1673;1674;1675;1676;1677;1678;1679;21373;21374;38735;38736;38737;38738;38739	1706;1707;1708;1709;1710;1711;1712;1713;1714;22241;22242;40356;40357;40358;40359;40360	1711;22241;40357		
AT1G70190.2;AT1G70190.1	AT1G70190.2;AT1G70190.1	3;3	3;3	3;3	AT1G70190.2 | ribosomal protein L7/L12 domain-containing protein | Chr1:26430616-26431242 FORWARD LENGTH=208 | 201606;AT1G70190.1 | ribosomal protein L7/L12 domain-containing protein | Chr1:26430616-26431242 FORWARD LENGTH=208 | 201606	2	3	3	3	0	1	1	1	1	1	1	2	1	1	1	2	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	2	1	1	1	2	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	2	1	1	1	2	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	13	13	13	22.722	208	208;208	1	27	0	23.404	0	5.8	5.8	5.8	5.8	5.8	5.8	10.6	5.8	5.8	5.8	8.2	0	5.8	5.8	5.8	5.8	5.8	5.8	5.8	5.8	5.8	5.8	5.8	5.8	5.8	5.8	98252000	0	1227400	1056500	1956500	1493300	7144700	6742500	7786900	7662000	1559900	477270	4163400	0	6300100	8260200	10106000	7902200	4728700	1043900	1113500	356700	749080	346540	3705100	3929900	3271600	5167400	0	0	0	0	0	0	0	131660	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	2	1	1	1	2	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	27				177	213;2414;5146	True;True;True	215;2473;5301	1871;23290;23291;23292;23293;23294;23295;23296;23297;23298;23299;23300;23301;23302;23303;23304;23305;23306;23307;23308;23309;23310;23311;23312;23313;23314;50494	1911;24233;24234;24235;24236;24237;24238;24239;24240;24241;24242;24243;24244;24245;24246;24247;24248;24249;24250;24251;24252;24253;24254;24255;24256;24257;52608	1911;24243;52608		
AT1G70580.4;AT1G70580.3;AT1G70580.2;AT1G70580.1	AT1G70580.4;AT1G70580.3;AT1G70580.2;AT1G70580.1	12;12;12;12	2;2;2;2	2;2;2;2	AT1G70580.4 | alanine-2-oxoglutarate aminotransferase 2 | Chr1:26613222-26615845 FORWARD LENGTH=481 | 201606;AT1G70580.3 | alanine-2-oxoglutarate aminotransferase 2 | Chr1:26613222-26615845 FORWARD LENGTH=481 | 201606;AT1G70580.2 | alanine-2-oxoglutarate a	4	12	2	2	0	4	7	5	6	5	3	5	2	5	5	5	2	5	5	2	2	3	4	4	3	6	5	2	5	3	2	0	0	1	1	1	0	0	0	0	1	1	1	0	1	1	0	0	0	1	0	0	1	1	0	1	0	0	0	0	1	1	1	0	0	0	0	1	1	1	0	1	1	0	0	0	1	0	0	1	1	0	1	0	0	28.7	4.8	4.8	53.444	481	481;481;481;481	1	12	0	13.584	0	12.1	18.7	15	16.8	16.6	12.9	19.3	8.9	16.8	15.2	16.6	7.9	15.4	16.4	8.9	7.9	10.8	13.7	14.8	8.1	19.1	16.8	8.9	15.2	12.9	8.9	49634000	0	0	3202400	3855700	6489900	0	0	0	0	4121100	2961300	2352300	0	4316000	7258700	0	0	0	3744000	0	0	2526300	4799900	0	4006600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	221980	0	0	0	0	0	0	1	1	1	0	0	0	0	1	1	1	0	1	1	0	0	0	1	0	0	1	1	0	1	0	0	12				178	305;413;1427;2158;2196;2349;2514;2876;3561;4595;5543;5601	False;False;True;False;False;False;False;False;False;False;True;False	310;422;423;1467;2211;2249;2406;2577;2956;3658;4735;5709;5769	2717;2718;2719;3680;3681;3682;3683;3684;3685;3686;3687;3688;3689;3690;3691;3692;3693;3694;3695;3696;3697;3698;3699;3700;3701;3702;3703;3704;3705;3706;3707;3708;3709;3710;3711;3712;3713;3714;3715;3716;3717;3718;3719;3720;3721;3722;3723;3724;3725;13578;13579;13580;13581;13582;13583;13584;13585;20412;20413;20414;20415;20416;20417;20811;20812;20813;20814;20815;20816;20817;20818;20819;20820;20821;20822;20823;22667;22668;22669;22670;22671;22672;22673;22674;22675;22676;22677;22678;22679;22680;22681;22682;22683;22684;24439;24440;24441;24442;28028;28029;28030;28031;28032;28033;28034;28035;28036;28037;28038;28039;28040;28041;28042;28043;28044;28045;28046;28047;28048;28049;28050;28051;28052;28053;28054;28055;28056;34824;34825;44500;54200;54201;54202;54203;54750;54751;54752;54753	2778;2779;2780;3783;3784;3785;3786;3787;3788;3789;3790;3791;3792;3793;3794;3795;3796;3797;3798;3799;3800;3801;3802;3803;3804;3805;3806;3807;3808;3809;3810;3811;3812;3813;3814;3815;3816;3817;3818;3819;3820;3821;3822;3823;3824;3825;3826;3827;3828;3829;3830;3831;3832;14147;14148;14149;14150;14151;14152;14153;14154;21234;21235;21236;21237;21238;21239;21651;21652;21653;21654;21655;21656;21657;21658;21659;21660;21661;21662;21663;23583;23584;23585;23586;23587;23588;23589;23590;23591;23592;23593;23594;23595;23596;23597;23598;23599;23600;25400;25401;25402;25403;25404;29129;29130;29131;29132;29133;29134;29135;29136;29137;29138;29139;29140;29141;29142;29143;29144;29145;29146;29147;29148;29149;29150;29151;29152;29153;29154;29155;29156;29157;29158;29159;29160;29161;29162;29163;36266;36267;46382;56459;56460;56461;56462;57024;57025;57026;57027	2779;3829;14150;21234;21658;23593;25403;29136;36266;46382;56461;57027		
AT1G71260.1	AT1G71260.1	3	3	3	AT1G71260.1 | WHIRLY 2 | Chr1:26861849-26863391 REVERSE LENGTH=238 | 201606	1	3	3	3	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	0	3	0	0	0	0	0	0	0	0	1	0	15.1	15.1	15.1	26.295	238	238	1	8	0	17.504	0	0	0	0	0	5	0	0	0	0	0	0	0	4.6	9.7	0	15.1	0	0	0	0	0	0	0	0	4.6	0	59511000	0	0	0	0	0	3074400	0	0	0	0	0	0	0	10888000	21480000	0	15516000	0	0	0	0	0	0	0	0	8552300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	222050	0	199690	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	0	3	0	0	0	0	0	0	0	0	1	0	8				179	984;3523;5101	True;True;True	1011;3618;5256	9284;9285;9286;34468;49992;49993;49994;49995	9592;9593;9594;35902;52077;52078;52079;52080	9593;35902;52078		
AT1G71310.2;AT1G71310.1;AT1G71310.3	AT1G71310.2;AT1G71310.1;AT1G71310.3	2;2;1	2;2;1	2;2;1	AT1G71310.2 | cobalt ion binding protein | Chr1:26878717-26879844 REVERSE LENGTH=176 | 201606;AT1G71310.1 | cobalt ion binding protein | Chr1:26878717-26879844 REVERSE LENGTH=176 | 201606;AT1G71310.3 | cobalt ion binding protein | Chr1:26879179-26879844 RE	3	2	2	2	0	1	1	2	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	2	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	2	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	19.9	19.9	19.9	19.484	176	176;176;165	1	26	0	14.265	0	9.1	9.1	19.9	9.1	9.1	9.1	9.1	9.1	9.1	9.1	9.1	0	9.1	9.1	9.1	9.1	9.1	9.1	9.1	9.1	9.1	9.1	9.1	9.1	9.1	9.1	100860000	0	3472000	4761900	5821600	4512300	2530400	4730000	4166700	4965800	5162300	2071800	2142100	0	4731700	6784600	1237500	4362400	2517100	3145500	3770900	2888100	3614500	2287400	6024100	3964700	4939100	6251300	0	0	0	155510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	2	1	26				180	1368;4837	True;True	1405;4986	12916;46946;46947;46948;46949;46950;46951;46952;46953;46954;46955;46956;46957;46958;46959;46960;46961;46962;46963;46964;46965;46966;46967;46968;46969;46970	13431;48941;48942;48943;48944;48945;48946;48947;48948;48949;48950;48951;48952;48953;48954;48955;48956;48957;48958;48959;48960;48961;48962;48963;48964;48965;48966	13431;48963		
AT1G71500.1	AT1G71500.1	3	3	3	AT1G71500.1 | Rieske (2Fe-2S) domain-containing protein | Chr1:26936084-26937331 FORWARD LENGTH=287 | 201606	1	3	3	3	0	0	0	0	0	2	2	1	0	0	0	0	0	2	0	1	1	1	0	0	0	0	0	2	2	1	2	0	0	0	0	0	2	2	1	0	0	0	0	0	2	0	1	1	1	0	0	0	0	0	2	2	1	2	0	0	0	0	0	2	2	1	0	0	0	0	0	2	0	1	1	1	0	0	0	0	0	2	2	1	2	11.1	11.1	11.1	31.727	287	287	1	17	0	19.319	0	0	0	0	0	5.6	11.1	5.6	0	0	0	0	0	11.1	0	5.6	5.6	5.6	0	0	0	0	0	11.1	11.1	5.6	11.1	39425000	0	0	0	0	0	1563100	8514600	3062300	0	0	0	0	0	5247200	0	594350	2731900	1053600	0	0	0	0	0	8067500	4137500	0	4453300	0	0	0	0	0	0	114930	0	0	0	0	0	0	67109	0	0	0	0	0	0	0	0	0	90516	64419	0	55462	0	0	0	0	0	2	2	2	0	0	0	0	0	2	0	1	1	1	0	0	0	0	0	2	2	1	2	18				181	481;583;1085	True;True;True	495;598;1115	4409;4410;4411;4412;4413;4414;5215;10437;10438;10439;10440;10441;10442;10443;10444;10445;10446	4566;4567;4568;4569;4570;4571;5391;10811;10812;10813;10814;10815;10816;10817;10818;10819;10820;10821	4569;5391;10817		
AT1G71730.1	AT1G71730.1	4	4	4	AT1G71730.1 | hypothetical protein | Chr1:26986298-26986831 REVERSE LENGTH=177 | 201606	1	4	4	4	1	2	2	2	3	2	2	2	2	2	2	2	1	2	2	2	2	1	3	2	2	4	2	2	2	2	1	1	2	2	2	3	2	2	2	2	2	2	2	1	2	2	2	2	1	3	2	2	4	2	2	2	2	1	1	2	2	2	3	2	2	2	2	2	2	2	1	2	2	2	2	1	3	2	2	4	2	2	2	2	1	23.2	23.2	23.2	19.578	177	177	1	55	0	36.459	7.3	14.7	13	14.7	20.3	14.7	14.7	14.7	14.7	14.7	14.7	14.7	8.5	14.7	14.7	14.7	14.7	7.3	20.3	14.7	14.7	23.2	14.7	14.7	14.7	14.7	7.3	778230000	305150	23706000	24222000	40526000	50137000	24040000	45145000	28459000	39439000	34417000	20442000	33415000	169370	35611000	45357000	17489000	41419000	10551000	38472000	22267000	26079000	50322000	11042000	27296000	31117000	32685000	24102000	0	1097900	678770	1228700	1127300	517030	517340	509170	547860	1132300	1250000	976860	0	547750	458530	509690	591280	0	1165300	980950	1485600	1483200	0	355180	507880	535590	0	2	2	2	2	3	2	2	2	2	2	2	2	1	2	2	2	1	1	3	2	2	4	2	2	2	2	1	54				182	1122;1389;1466;2434	True;True;True;True	1153;1427;1506;2493	10683;10684;10685;10686;13069;13070;13071;13072;13073;13074;13075;13076;13077;13078;13079;13080;13081;13082;13083;13084;13085;13086;13087;13088;13089;13090;13091;13092;13093;13094;13095;13887;13888;23438;23439;23440;23441;23442;23443;23444;23445;23446;23447;23448;23449;23450;23451;23452;23453;23454;23455;23456;23457;23458;23459	11063;11064;11065;11066;13593;13594;13595;13596;13597;13598;13599;13600;13601;13602;13603;13604;13605;13606;13607;13608;13609;13610;13611;13612;13613;13614;13615;13616;13617;13618;13619;14472;14473;24382;24383;24384;24385;24386;24387;24388;24389;24390;24391;24392;24393;24394;24395;24396;24397;24398;24399;24400;24401;24402;24403	11064;13613;14473;24403		
AT1G72170.1;REV__decoy_10994	AT1G72170.1	3;1	3;1	3;1	AT1G72170.1 | MICOS complex subunit%2C putative (DUF543) | Chr1:27156403-27157516 FORWARD LENGTH=102 | 201606	2	3	3	3	0	0	0	0	0	2	2	2	2	0	0	1	0	2	2	2	3	2	0	2	0	0	0	2	2	2	2	0	0	0	0	0	2	2	2	2	0	0	1	0	2	2	2	3	2	0	2	0	0	0	2	2	2	2	0	0	0	0	0	2	2	2	2	0	0	1	0	2	2	2	3	2	0	2	0	0	0	2	2	2	2	30.4	30.4	30.4	10.752	102	102;102	1	30	0	24.208	0	0	0	0	0	30.4	30.4	30.4	30.4	0	0	14.7	0	30.4	30.4	30.4	30.4	30.4	0	30.4	0	0	0	30.4	30.4	30.4	30.4	676400000	0	0	0	0	0	35050000	52950000	41028000	57668000	0	0	5428500	0	48866000	79048000	25219000	53758000	27195000	0	5839300	0	0	0	62010000	52701000	64002000	65633000	0	0	0	0	0	657570	652600	712980	794310	0	0	0	0	648870	712770	802820	770540	743800	0	217260	0	0	0	731400	761960	1007800	829600	0	0	0	0	0	2	2	2	2	0	0	1	0	2	4	2	3	2	0	2	0	0	0	2	2	2	2	32				183	178;1506;3916	True;True;True	178;1548;4045	1498;1499;1500;1501;1502;1503;1504;1505;1506;1507;1508;1509;1510;1511;14220;38361;38362;38363;38364;38365;38366;38367;38368;38369;38370;38371;38372;38373;38374;38375	1530;1531;1532;1533;1534;1535;1536;1537;1538;1539;1540;1541;1542;1543;1544;1545;14814;39971;39972;39973;39974;39975;39976;39977;39978;39979;39980;39981;39982;39983;39984;39985	1542;14814;39982		
AT1G72330.1;AT1G72330.3;AT1G72330.2	AT1G72330.1;AT1G72330.3;AT1G72330.2	9;9;7	3;3;1	3;3;1	AT1G72330.1 | alanine aminotransferase 2 | Chr1:27233637-27236571 FORWARD LENGTH=540 | 201606;AT1G72330.3 | alanine aminotransferase 2 | Chr1:27233637-27236571 FORWARD LENGTH=553 | 201606;AT1G72330.2 | alanine aminotransferase 2 | Chr1:27233637-27236191 FO	3	9	3	3	1	4	6	5	6	2	1	1	2	5	4	6	1	1	4	1	4	2	6	3	5	3	5	2	1	1	2	0	1	1	0	1	0	0	0	0	1	1	1	0	0	1	0	0	0	2	0	1	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	1	1	1	0	0	1	0	0	0	2	0	1	0	1	0	0	0	0	19.8	7.4	7.4	59.51	540	540;553;431	1	11	0	18.606	1.7	10.4	12.2	10.7	12.4	3.9	1.7	2.6	4.3	12	8.3	12.2	1.7	1.7	8.3	2.6	8.1	3.9	16.3	6.5	12.4	6.5	12.4	4.4	1.7	2.2	4.4	64537000	0	3870600	7475800	0	2482700	0	0	0	0	6847900	3114300	0	0	0	22508000	0	0	0	9786300	0	4150000	0	4300800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	374620	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	1	1	1	0	0	1	0	0	0	2	0	1	0	1	0	0	0	0	12				184	141;392;586;840;1800;1894;3435;4080;4229	True;True;False;True;False;False;False;False;False	141;398;601;860;1846;1941;3528;4212;4364	1157;1158;1159;1160;3458;3459;3460;3461;3462;3463;5222;5223;5224;5225;5226;5227;5228;5229;5230;5231;5232;5233;5234;5235;5236;5237;7883;17032;17033;17034;17035;17036;17037;17038;17039;17040;17041;17042;17043;17044;17045;17046;17047;17048;17049;17050;17051;17052;17053;17054;17055;17828;17829;17830;17831;17832;17833;17834;17835;17836;17837;17838;17839;17840;17841;17842;17843;17844;33599;33600;33601;33602;39873;39874;39875;39876;39877;41060;41061;41062;41063;41064;41065;41066;41067;41068	1182;1183;1184;1185;3550;3551;3552;3553;3554;3555;3556;5398;5399;5400;5401;5402;5403;5404;5405;5406;5407;5408;5409;5410;5411;5412;5413;5414;5415;8152;17739;17740;17741;17742;17743;17744;17745;17746;17747;17748;17749;17750;17751;17752;17753;17754;17755;17756;17757;17758;17759;17760;17761;17762;18566;18567;18568;18569;18570;18571;18572;18573;18574;18575;18576;18577;18578;18579;18580;18581;18582;18583;34989;34990;34991;34992;41547;41548;41549;41550;41551;42795;42796;42797;42798;42799;42800;42801;42802;42803;42804	1185;3550;5406;8152;17759;18580;34990;41551;42802		
AT1G72750.1	AT1G72750.1	4	4	4	AT1G72750.1 | translocase inner membrane subunit 23-2 | Chr1:27383577-27384143 FORWARD LENGTH=188 | 201606	1	4	4	4	0	0	0	0	0	0	2	2	2	0	0	0	0	1	1	2	2	1	0	1	0	0	0	1	0	1	2	0	0	0	0	0	0	2	2	2	0	0	0	0	1	1	2	2	1	0	1	0	0	0	1	0	1	2	0	0	0	0	0	0	2	2	2	0	0	0	0	1	1	2	2	1	0	1	0	0	0	1	0	1	2	31.4	31.4	31.4	19.878	188	188	1	18	0	25.346	0	0	0	0	0	0	18.1	12.8	15.4	0	0	0	0	7.4	7.4	15.4	15.4	7.4	0	7.4	0	0	0	7.4	0	7.4	12.8	331290000	0	0	0	0	0	0	38299000	24441000	52858000	0	0	0	0	24375000	35168000	13894000	46742000	12167000	0	2249300	0	0	0	25419000	0	21073000	34606000	0	0	0	0	0	0	0	0	709680	0	0	0	0	0	0	429630	670410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	0	0	0	0	1	1	2	2	1	0	1	0	0	0	1	0	1	2	17				185	2584;3426;3593;4323	True;True;True;True	2654;3519;3690;4458	25084;25085;33540;33541;33542;35114;35115;35116;35117;35118;35119;35120;35121;35122;35123;35124;35125;41810	26070;26071;34928;34929;34930;36582;36583;36584;36585;36586;36587;36588;36589;36590;36591;36592;36593;43582	26070;34929;36592;43582		
AT1G73120.1	AT1G73120.1	1	1	1	AT1G73120.1 | F-box/RNI superfamily protein | Chr1:27497365-27497885 REVERSE LENGTH=109 | 201606	1	1	1	1	0	0	1	0	0	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	0	1	1	1	0	1	1	0	0	1	0	0	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	0	1	1	1	0	1	1	0	0	1	0	0	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	0	1	1	1	0	1	1	13.8	13.8	13.8	11.851	109	109	1	18	0.0011933	10.402	0	0	13.8	0	0	13.8	13.8	13.8	13.8	13.8	13.8	13.8	0	0	13.8	13.8	13.8	13.8	0	13.8	0	13.8	13.8	13.8	0	13.8	13.8	22103000	0	0	962570	0	0	0	1324100	954740	964260	876230	796060	2234900	0	0	3105900	2483700	1740500	964810	0	723760	0	887980	438190	0	0	1495800	2149700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26426	0	0	1	0	0	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	0	1	1	1	0	1	1	18				186	1003	True	1030	9568;9569;9570;9571;9572;9573;9574;9575;9576;9577;9578;9579;9580;9581;9582;9583;9584;9585	9905;9906;9907;9908;9909;9910;9911;9912;9913;9914;9915;9916;9917;9918;9919;9920;9921;9922	9907		
