name,ID,clp1p__vs_wtp__p.val,clp1s__vs_wts__p.val,clp2p__vs_wtp__p.val,clp2s__vs_wts__p.val,clp1p__vs_wtp__p.adj,clp1s__vs_wts__p.adj,clp2p__vs_wtp__p.adj,clp2s__vs_wts__p.adj,clp1p__vs_wtp__significant,clp1s__vs_wts__significant,clp2p__vs_wtp__significant,clp2s__vs_wts__significant,significant,clp1p__vs_wtp__ratio,clp1s__vs_wts__ratio,clp2p__vs_wtp__ratio,clp2s__vs_wts__ratio,clp1p__centered,clp1s__centered,clp2p__centered,clp2s__centered,wtp__centered,wts__centered
 ATP synthase alpha/beta family protein ,AT5G08690.1,2.0669228706455886e-7,0.03023068494520087,1.7797447394651072e-7,0.0627265349525003,2.2e-8,0.0956,5.6e-5,0.461,TRUE,FALSE,TRUE,FALSE,TRUE,1.41,0.42,1.54,0.354,-0.0955,0.687,0.0328,0.621,-1.5,0.267
 ATP12 protein-like protein ,AT5G40660.1,2.753789092821624e-4,0.873950081303324,3.7191217381770455e-4,0.34682825095131053,0.00756,0.844,0.118,0.785,TRUE,FALSE,FALSE,FALSE,TRUE,1.56,-0.0565,1.63,-0.339,0.998,-0.338,1.07,-0.62,-0.562,-0.282
 Citrate synthase family protein ,AT2G44350.4,0.006778954927159728,0.004075981420300139,0.008027620507811709,0.04507051278784651,0.123,0.00868,0.408,0.388,FALSE,TRUE,FALSE,FALSE,TRUE,-0.349,-0.375,-0.367,-0.247,0.438,-0.681,0.419,-0.552,0.787,-0.306
 CLP protease regulatory subunit X ,AT5G53350.1,7.756460087626749e-7,9.630640310343055e-6,5.294071142642846e-6,4.924007516257577e-7,5.79e-7,2.05e-8,0.00432,6.95e-8,TRUE,TRUE,TRUE,TRUE,TRUE,0.862,0.715,0.809,0.89,0.404,0.11,0.351,0.285,-0.458,-0.605
 Co-chaperone GrpE family protein .2,AT5G55200.1,4.3112112485826996e-4,0.0026633008777073755,4.01725958340157e-4,0.001546820138701672,0.0121,0.00479,0.121,0.0355,TRUE,TRUE,FALSE,TRUE,TRUE,0.673,0.547,0.732,0.585,0.493,-0.0728,0.552,-0.035,-0.18,-0.62
 cobalt ion binding protein .1,AT3G15000.1,0.0011680880935495193,2.743977793948396e-6,3.46179272912905e-4,1.4859999947903266e-5,0.0324,4.17e-10,0.114,8.94e-5,TRUE,TRUE,FALSE,TRUE,TRUE,0.605,1.04,0.745,0.913,-0.294,0.825,-0.155,0.699,-0.899,-0.215
 cysteine synthase C1 ,AT3G61440.1,0.039103675317241654,0.02273340289754918,0.005293507683795527,1.11361159878156e-4,0.317,0.0733,0.367,0.00176,FALSE,FALSE,FALSE,TRUE,TRUE,-0.268,-0.299,-0.411,-0.585,0.28,-0.315,0.137,-0.601,0.548,-0.0156
 Cytochrome C1 family ,AT3G27240.1,0.00701900738000799,0.9141814713665047,2.8308553531858445e-5,0.9434527161388275,0.126,0.85,0.0224,0.893,FALSE,FALSE,TRUE,FALSE,TRUE,-1.58,0.0572,-3.08,-0.0376,-3.04,2.69,-4.55,2.59,-1.46,2.63
 cytosolic NADP+-dependent isocitrate dehydrogenase ,AT1G65930.1,0.24102627267822485,1.3551453986985516e-4,0.20753205225258778,0.46721703207040155,0.669,1.9e-5,0.79,0.823,FALSE,TRUE,FALSE,FALSE,TRUE,-0.325,-1.28,-0.379,-0.199,-0.0617,-0.824,-0.115,0.255,0.264,0.454
 Dihydrolipoamide acetyltransferase%2C long form protein .1,AT3G13930.1,0.2258638241818262,0.006718331551075721,0.3916738630125398,0.00828816624929693,0.658,0.0171,0.842,0.125,FALSE,TRUE,FALSE,FALSE,TRUE,-0.143,-0.348,-0.108,-0.337,0.00957,-0.185,0.0445,-0.174,0.153,0.163
 elongation factor family protein ,AT2G31060.2,0.002174009339618846,1.5208861385858705e-4,0.010046405752048092,1.0665501258579664e-4,0.0546,2.36e-5,0.429,0.00166,FALSE,TRUE,FALSE,TRUE,TRUE,0.502,0.667,0.437,0.689,0.392,0.0388,0.328,0.061,-0.11,-0.628
 FAD/NAD(P)-binding oxidoreductase ,AT5G20080.1,9.436248131304099e-5,0.5059110679386077,1.7326521357117634e-4,0.6534055100463929,0.0022,0.748,0.0805,0.86,TRUE,FALSE,FALSE,FALSE,TRUE,-0.688,-0.095,-0.703,-0.0639,-0.284,-0.0071,-0.299,0.024,0.404,0.0879
 formate dehydrogenase ,AT5G14780.3,0.04904406819503278,0.02238497433465915,0.08791008856886781,2.615481534693962e-4,0.359,0.0722,0.7,0.00499,FALSE,FALSE,FALSE,TRUE,TRUE,-0.312,-0.368,-0.288,-0.662,0.298,-0.408,0.322,-0.702,0.61,-0.0398
 gametophytic factor 2 ,AT5G48030.1,6.351315312705632e-5,0.0020832842151680166,1.7604273160951107e-4,0.0012120527134127294,0.00138,0.00342,0.0812,0.0289,TRUE,TRUE,FALSE,TRUE,TRUE,1.84,1.29,1.81,1.37,-0.39,1.38,-0.42,1.46,-2.23,0.0926
 GDSL-like Lipase/Acylhydrolase superfamily protein ,AT1G54000.1,0.5311383323370954,0.07102650919617363,0.03138093397237843,9.689362209779768e-4,0.788,0.225,0.569,0.0234,FALSE,FALSE,FALSE,TRUE,TRUE,0.183,-0.549,-0.721,-1.12,-2.54,2.63,-3.45,2.06,-2.73,3.17
 geranyl diphosphate synthase 1 ,AT2G34630.1,0.07923918612215296,0.007863994405248454,0.29416830873067246,0.01698016547184047,0.455,0.0208,0.82,0.22,FALSE,TRUE,FALSE,FALSE,TRUE,1.08,1.72,0.677,1.52,1.8,-0.545,1.4,-0.75,0.72,-2.27
 glutamate dehydrogenase 2 ,AT5G07440.2,0.5432484228799617,0.060875821998603134,0.07919744241347654,0.0013560126056600473,0.791,0.197,0.688,0.0318,FALSE,FALSE,FALSE,TRUE,TRUE,-0.182,-0.586,0.589,-1.1,-0.428,0.115,0.343,-0.401,-0.246,0.701
 glutamine-rich protein 23 ,AT1G10270.1,3.8338667477879213e-4,1.0189161406096575e-6,6.991620470267304e-4,1.6262169117087106e-6,0.0108,1.13e-11,0.164,1.05e-6,TRUE,TRUE,FALSE,TRUE,TRUE,1.41,2.31,1.43,2.23,0.733,0.587,0.753,0.511,-0.675,-1.72
 glycine-rich RNA-binding protein 3 ,AT5G61030.2,0.4438942049738652,5.965602000982357e-4,0.6511571764971059,0.0035672741632607856,0.764,4.12e-4,0.877,0.0678,FALSE,TRUE,FALSE,FALSE,TRUE,0.425,2.23,0.27,1.81,0.581,0.534,0.426,0.108,0.156,-1.7
 glycine decarboxylase P-protein 1 ,AT4G33010.1,8.364851046144311e-4,0.002713533083111652,0.006535590857565212,0.004444029033063487,0.0234,0.0049,0.388,0.0771,TRUE,TRUE,FALSE,FALSE,TRUE,0.491,0.427,0.409,0.4,0.753,-0.355,0.672,-0.382,0.263,-0.782
 glycine decarboxylase P-protein 2 ,AT2G26080.1,1.446077604035971e-4,4.8763554223159045e-4,0.0016406488351974307,0.004057198250137823,0.00346,2.88e-4,0.243,0.0733,TRUE,TRUE,FALSE,FALSE,TRUE,0.622,0.552,0.521,0.43,0.765,-0.244,0.664,-0.366,0.143,-0.796
 GroES-like zinc-binding alcohol dehydrogenase family protein .3,AT5G63620.2,0.4716573768652432,0.5690084517129934,0.5540802051076799,6.082440778128311e-6,0.772,0.772,0.866,1.67e-5,FALSE,FALSE,FALSE,TRUE,TRUE,-0.361,-0.285,-0.32,-3.04,0.921,-0.153,0.962,-2.9,1.28,0.132
 HSP20-like chaperones superfamily protein ,AT5G51440.1,0.07346200727250543,0.0018265085738452945,0.08860193844219162,1.480009198824003e-4,0.44,0.00286,0.701,0.00258,FALSE,TRUE,FALSE,TRUE,TRUE,0.861,1.64,0.881,2.14,-0.156,0.805,-0.136,1.31,-1.02,-0.837
 hydroxyproline-rich glycoprotein family protein ,AT1G53645.1,0.024807720858237424,0.015615692699947198,0.8775811187180862,0.004750539557453267,0.252,0.0484,0.895,0.0799,FALSE,TRUE,FALSE,FALSE,TRUE,0.271,0.295,-0.0188,0.356,-0.176,0.403,-0.466,0.463,-0.447,0.107
 isocitrate dehydrogenase V ,AT5G03290.1,0.2489935075607446,0.014366104675480258,0.3764791934346663,0.003357284334503746,0.675,0.0441,0.839,0.0652,FALSE,TRUE,FALSE,FALSE,TRUE,-0.141,-0.318,-0.116,-0.396,0.363,-0.466,0.388,-0.543,0.503,-0.148
 isocitrate dehydrogenase VI ,AT3G09810.1,0.13881238674560276,0.005035661959547221,0.2178817488076372,0.0013519916713663801,0.567,0.0116,0.794,0.0318,FALSE,TRUE,FALSE,TRUE,TRUE,-0.219,-0.449,-0.195,-0.531,0.355,-0.526,0.378,-0.608,0.574,-0.0772
 isocitrate lyase ,AT3G21720.1,0.6334759267479451,0.20247932426491413,3.9404049093964626e-4,5.57722902658613e-4,0.809,0.506,0.121,0.0128,FALSE,FALSE,FALSE,TRUE,TRUE,0.113,0.308,1.08,0.965,0.174,-0.48,1.14,0.177,0.0613,-0.788
 Isocitrate/isopropylmalate dehydrogenase family protein ,AT5G14590.1,0.5239189697637312,0.007839259586327372,0.33655972576445836,0.029665165633598445,0.786,0.0208,0.831,0.311,FALSE,TRUE,FALSE,FALSE,TRUE,-0.15,-0.686,-0.246,-0.543,0.751,-0.991,0.655,-0.848,0.901,-0.305
 isovaleryl-CoA-dehydrogenase ,AT3G45300.1,0.7892277212747864,0.20972504520705978,0.9117412628328962,0.002158688492544953,0.834,0.516,0.897,0.0471,FALSE,FALSE,FALSE,TRUE,TRUE,0.102,-0.491,-0.0459,-1.34,0.789,-0.533,0.641,-1.38,0.687,-0.0424
 Lactate/malate dehydrogenase family protein ,AT1G04410.1,0.8088146024044544,0.003187912515314636,0.3437896682740643,0.024639104145541647,0.837,0.00618,0.832,0.28,FALSE,TRUE,FALSE,FALSE,TRUE,-0.0731,1,-0.312,0.727,-0.828,1.22,-1.07,0.944,-0.755,0.217
 Late embryogenesis abundant protein (LEA) family protein ,AT4G21020.1,1.1097686699792343e-7,9.20277806672112e-6,9.513688503328985e-7,4.157945963347536e-5,5.03e-9,1.83e-8,6.14e-4,3.87e-4,TRUE,TRUE,TRUE,TRUE,TRUE,1.99,1.45,1.86,1.28,0.818,0.487,0.683,0.319,-1.17,-0.964
 light harvesting complex photosystem II subunit 6 ,AT1G15820.1,0.0019225247824048496,0.9992454459770281,8.089396576764402e-4,0.29687102006291566,0.049,0.862,0.177,0.763,TRUE,FALSE,FALSE,FALSE,TRUE,-1.3,3.46e-4,-1.55,-0.388,-2.58,2.12,-2.83,1.73,-1.28,2.12
 lipoamide dehydrogenase 2 ,AT3G17240.3,0.07769397650011317,0.006713808351478741,0.15945373638958735,4.235993780442512e-5,0.451,0.0171,0.765,3.96e-4,FALSE,TRUE,FALSE,TRUE,TRUE,-0.267,-0.435,-0.227,-0.755,-0.275,0.115,-0.235,-0.205,-0.00834,0.55
 lon protease 1 ,AT5G26860.1,0.7337386538805997,0.011367353749852057,0.3861984384381466,0.34328387539853256,0.826,0.0333,0.841,0.784,FALSE,TRUE,FALSE,FALSE,TRUE,0.0491,-0.399,0.136,-0.138,0.401,-0.593,0.488,-0.332,0.352,-0.194
 LYR family of Fe/S cluster biogenesis protein .1,AT3G12260.1,4.808897766127686e-9,0.3286575309992382,7.570804185426458e-9,0.40508713990380396,1.79e-13,0.645,1.26e-7,0.806,TRUE,FALSE,TRUE,FALSE,TRUE,4.17,0.417,4.37,0.354,0.256,1.26,0.465,1.2,-3.91,0.845
 Mal d 1-associated protein ,AT2G35900.1,0.0018620777861104421,0.09622403924241886,0.02728571864271926,0.2608940849375203,0.0478,0.289,0.553,0.743,TRUE,FALSE,FALSE,FALSE,TRUE,-1.05,0.51,-0.752,0.338,-0.813,0.547,-0.514,0.375,0.239,0.0373
 malate synthase ,AT5G03860.2,0.7785691675183443,0.28484249287881586,0.012423918731639652,0.001425360815074689,0.833,0.605,0.452,0.0332,FALSE,FALSE,FALSE,TRUE,TRUE,0.186,0.717,1.94,2.43,-2.39,1.49,-0.636,3.19,-2.58,0.768
 male gametophyte defective 3 ,AT1G68990.1,0.001588424064533607,0.003846639884931844,0.907498707753476,0.00349174999956498,0.0422,0.00804,0.897,0.0669,TRUE,TRUE,FALSE,FALSE,TRUE,-1.04,0.927,-0.0359,0.939,-1.03,0.65,-0.0256,0.662,0.0102,-0.277
 methionyl-tRNA synthetase / methionine-tRNA ligase / MetRS (cpMetRS) ,AT3G55400.1,0.5453870745985677,0.00946674682943341,0.4618904561784105,0.0030950763508446133,0.791,0.0263,0.854,0.0618,FALSE,TRUE,FALSE,FALSE,TRUE,0.161,0.753,0.212,0.884,0.447,-0.161,0.498,-0.0307,0.286,-0.915
 methylcrotonyl-CoA carboxylase alpha chain ,AT1G03090.2,0.4403807512968937,0.12884777335137526,0.24837499589770123,0.0022254557456774433,0.763,0.37,0.806,0.0483,FALSE,FALSE,FALSE,TRUE,TRUE,-0.242,-0.487,-0.395,-1.08,0.595,-0.551,0.442,-1.15,0.836,-0.0642
 MICOS complex subunit ,AT4G39690.1,0.27714452204419493,0.4900949901617442,8.017835610946408e-5,0.9905576682506323,0.692,0.741,0.0488,0.896,FALSE,FALSE,TRUE,FALSE,TRUE,-0.283,-0.178,-1.36,0.00304,-2.39,2.25,-3.47,2.43,-2.11,2.43
 Mitochondrial ATP synthase subunit G protein ,AT2G19680.2,0.02055718216904949,0.47082917056674145,7.679958155138323e-5,0.61453225611097,0.229,0.732,0.0475,0.854,FALSE,FALSE,TRUE,FALSE,TRUE,-0.537,-0.156,-1.15,-0.109,-2.12,1.85,-2.73,1.9,-1.58,2.01
 mitochondrial heat shock protein 70-1 ,AT4G37910.2,2.399431309490588e-5,5.951600135181747e-5,8.012842074149405e-6,3.12113860387046e-5,3.5e-4,2.86e-6,0.00648,2.64e-4,TRUE,TRUE,TRUE,TRUE,TRUE,0.582,0.539,0.687,0.57,0.28,0.0806,0.384,0.111,-0.302,-0.458
 mitochondrial processing peptidase alpha subunit ,AT3G16480.1,1.00117494263686e-6,0.17374103200820418,2.1225738128259416e-5,0.5922771807623699,9.62e-7,0.459,0.0175,0.85,TRUE,FALSE,TRUE,FALSE,TRUE,0.932,0.187,0.798,0.072,0.201,0.26,0.0674,0.145,-0.73,0.0733
 NAD-dependent malic enzyme 1 ,AT2G13560.1,0.044240454015765,0.0024024735063564906,0.03501137647293538,0.002308998886167747,0.339,0.00417,0.582,0.0497,FALSE,TRUE,FALSE,TRUE,TRUE,-0.225,-0.366,-0.256,-0.367,0.28,-0.446,0.249,-0.447,0.506,-0.0799
 NAD-dependent malic enzyme 2 ,AT4G00570.1,0.4666470010038406,0.009527651277246972,0.29119998909649847,0.013702326486414977,0.771,0.0265,0.819,0.188,FALSE,TRUE,FALSE,FALSE,TRUE,-0.0825,-0.32,-0.13,-0.301,0.296,-0.4,0.248,-0.381,0.379,-0.0798
 NADH-ubiquinone dehydrogenase ,AT5G37510.1,2.7832505000384635e-6,0.431317755323838,3.7380226320848714e-6,0.4345485995713997,8.49e-6,0.712,0.00309,0.815,TRUE,FALSE,TRUE,FALSE,TRUE,2.81,0.346,2.97,0.343,0.212,0.82,0.371,0.818,-2.6,0.475
 NADH-ubiquinone oxidoreductase 24 kDa subunit ,AT4G02580.1,1.669773027606074e-8,0.003665189758604777,4.9653841539484384e-8,0.0027049801000894914,1.67e-11,0.00753,6.23e-6,0.0561,TRUE,TRUE,TRUE,FALSE,TRUE,1.92,0.687,1.94,0.715,0.159,0.712,0.173,0.739,-1.76,0.0245
 NADH-ubiquinone oxidoreductase B8 subunit ,AT5G47890.1,1.5126553422811914e-4,0.07236784859372167,0.006713605874965886,0.10374838684224001,0.00361,0.229,0.391,0.571,TRUE,FALSE,FALSE,FALSE,TRUE,3.15,1.27,2.2,1.14,0.364,1.42,-0.588,1.29,-2.78,0.149
 NADP-malic enzyme 4 ,AT1G79750.1,0.8346340455389455,0.012078183328323796,0.19005922238352455,0.0738815600291805,0.84,0.0359,0.782,0.497,FALSE,TRUE,FALSE,FALSE,TRUE,0.0325,-0.426,0.226,-0.291,0.186,-0.395,0.379,-0.26,0.153,0.031
 nuclear-encoded CLP protease P7 ,AT5G23140.1,4.503368315744896e-14,8.751388528558114e-14,8.60107623001485e-13,4.909422200842682e-14,6.72e-14,3.37e-14,1.41e-13,4.68e-14,TRUE,TRUE,TRUE,TRUE,TRUE,-5.07,-4.89,-4.65,-5.04,-1.86,-1.66,-1.45,-1.82,3.2,3.22
 nucleoside diphosphate kinase 3 ,AT4G11010.1,7.704518344187048e-4,0.6898973079493711,3.5038689105398716e-4,0.9781382072875293,0.0218,0.807,0.115,0.895,TRUE,FALSE,FALSE,FALSE,TRUE,-0.692,-0.0702,-0.812,-0.00481,-1.53,1.15,-1.65,1.22,-0.834,1.22
 P-loop containing nucleoside triphosphate hydrolases superfamily protein .5,AT3G19740.1,0.16945915083592927,0.006748851889333686,0.10123067456864746,0.004154300494198609,0.606,0.0172,0.716,0.0743,FALSE,TRUE,FALSE,FALSE,TRUE,0.336,0.715,0.438,0.766,-0.153,0.448,-0.0513,0.499,-0.489,-0.267
 pentatricopeptide (PPR) repeat-containing protein ,AT1G19520.1,6.348427567664149e-5,9.460185490645168e-4,0.002095137139157694,2.0916285960211422e-4,0.00138,9.82e-4,0.265,0.00392,TRUE,TRUE,FALSE,TRUE,TRUE,0.799,0.613,0.603,0.716,0.0184,0.468,-0.178,0.572,-0.781,-0.144
 Pentatricopeptide repeat (PPR) superfamily protein .8,AT5G60960.1,1.356601908978013e-4,4.715972716036494e-6,0.0011949109767655378,6.578578106577074e-7,0.00325,2.44e-9,0.213,1.26e-7,TRUE,TRUE,FALSE,TRUE,TRUE,1.24,1.64,1.07,1.89,-0.132,1.04,-0.301,1.29,-1.37,-0.6
 pentatricopeptide repeat 336 ,AT1G61870.1,2.645557405000152e-11,0.0729573261821868,1.0498903510937757e-10,0.9009016512137116,6.72e-14,0.23,3.53e-13,0.889,TRUE,FALSE,TRUE,FALSE,TRUE,1.86,0.26,1.86,0.0173,0.207,0.6,0.202,0.358,-1.66,0.34
 photosystem I subunit F ,AT1G31330.1,0.9522187895064487,0.01539868313312349,0.5392169884213222,0.7591440195502097,0.854,0.0477,0.865,0.874,FALSE,TRUE,FALSE,FALSE,TRUE,-0.0454,1.99,-0.505,-0.233,-0.854,2.29,-1.31,0.0648,-0.809,0.297
 photosystem II light harvesting complex protein 2.1 ,AT2G05100.1,0.9293574229038478,0.004363180536146687,0.7030883528705527,0.1965900461871077,0.852,0.00947,0.882,0.696,FALSE,TRUE,FALSE,FALSE,TRUE,-0.064,2.3,-0.298,0.954,-0.97,2.14,-1.2,0.794,-0.906,-0.159
 photosystem II reaction center protein A ,ATCG00020.1,0.0010649766510143753,0.5536497058751526,0.1777833056352925,0.43103327481116105,0.0297,0.766,0.775,0.814,TRUE,FALSE,FALSE,FALSE,TRUE,1.2,0.187,0.469,-0.25,-1.53,2.19,-2.25,1.75,-2.72,2
 polyribonucleotide nucleotidyltransferase ,AT5G14580.1,0.9395448301413667,0.007942624662484141,0.3013888782295132,0.015345240863894829,0.853,0.0211,0.822,0.205,FALSE,TRUE,FALSE,FALSE,TRUE,0.0326,1.26,0.487,1.13,-1.02,1.29,-0.563,1.16,-1.05,0.0345
 presequence protease 1 ,AT3G19170.1,2.4506701993137433e-5,5.299759309420179e-7,3.0084951197655914e-5,2.007988129758554e-6,3.6e-4,9.18e-13,0.0235,1.56e-6,TRUE,TRUE,TRUE,TRUE,TRUE,0.816,1.09,0.867,0.991,1.05,-0.306,1.1,-0.404,0.233,-1.4
 protein translocase subunit ,AT3G51010.1,0.5108958015954271,0.0020853449009124343,0.2395809521787266,0.1996042235724578,0.783,0.00343,0.803,0.699,FALSE,TRUE,FALSE,FALSE,TRUE,-0.43,2.28,-0.842,0.853,-0.724,1.86,-1.14,0.431,-0.294,-0.422
 putative mitochondrial RNA helicase 1 ,AT3G22310.1,2.098865625099976e-8,2.1310266806459018e-11,1.2365834411164462e-6,1.6353958367072894e-11,2.99e-11,3.37e-14,8e-4,4.68e-14,TRUE,TRUE,TRUE,TRUE,TRUE,2.26,3.42,1.86,3.47,0.309,1.69,-0.0949,1.75,-1.95,-1.72
 putative mitochondrial RNA helicase 2 ,AT3G22330.1,3.4225180267627876e-4,1.409566449571689e-4,0.001539888078039189,1.7024456036415528e-4,0.0096,2.05e-5,0.237,0.00307,TRUE,TRUE,FALSE,TRUE,TRUE,1.62,1.76,1.48,1.73,-0.0565,1.22,-0.191,1.19,-1.67,-0.54
 Pyridoxal phosphate (PLP)-dependent transferases superfamily protein .3,AT4G33680.1,0.16320040857404924,5.91483426864474e-4,0.026887884405578495,0.007613998334788257,0.599,4.06e-4,0.551,0.118,FALSE,TRUE,FALSE,FALSE,TRUE,-0.302,-0.857,-0.54,-0.622,0.587,-0.943,0.349,-0.709,0.89,-0.0866
 Radical SAM superfamily protein .1,AT2G43360.1,1.3696083070487432e-5,1.1399671059491446e-4,9.069900436917197e-5,2.7702457730559353e-4,1.49e-4,1.33e-5,0.0527,0.00529,TRUE,TRUE,FALSE,TRUE,TRUE,2.22,1.85,2.04,1.7,1.25,0.302,1.08,0.152,-0.966,-1.55
 RH39 ,AT4G09730.1,0.3293165261632771,1.455428592436212e-5,0.8471018212463066,1.9001558315304243e-5,0.72,6.72e-8,0.893,1.31e-4,FALSE,TRUE,FALSE,TRUE,TRUE,0.316,1.82,0.0666,1.78,-0.272,1.03,-0.521,0.996,-0.587,-0.781
 Ribosomal protein L14p/L23e family protein ,AT3G04400.2,0.0018541274457223099,0.9689879143449037,0.017869839430875355,0.8604787545494688,0.0476,0.858,0.501,0.885,TRUE,FALSE,FALSE,FALSE,TRUE,-0.836,0.00913,-0.649,0.0413,-2.18,1.67,-1.99,1.7,-1.34,1.66
 Ribosomal protein L18e/L15 superfamily protein .2,AT5G64670.1,0.009611407693842597,4.617066007527178e-5,0.0012593443418889548,2.5263254546398183e-5,0.147,1.58e-6,0.218,1.93e-4,FALSE,TRUE,FALSE,TRUE,TRUE,0.836,1.52,1.19,1.6,-0.2,0.855,0.15,0.935,-1.04,-0.666
 ribosomal protein L20 ,AT5G62270.1,1.0273728964123447e-4,0.001987339197845737,0.00573313942176665,0.004480411798178081,0.00242,0.00321,0.375,0.0774,TRUE,TRUE,FALSE,FALSE,TRUE,0.674,0.494,0.464,0.445,-0.0542,0.508,-0.264,0.458,-0.728,0.0136
 Ribosomal protein L21 ,AT4G30930.1,0.0016122430232225812,0.004409140293200104,0.003164594480510115,0.001661877919933281,0.0427,0.00959,0.311,0.0375,TRUE,TRUE,FALSE,TRUE,TRUE,1.32,1.16,1.31,1.32,0.094,0.693,0.0847,0.848,-1.23,-0.47
 Ribosomal protein L4/L1 family ,AT2G20060.1,0.43869251264502007,0.006704265662795187,0.9381370669064667,0.2713259185918642,0.762,0.017,0.899,0.75,FALSE,TRUE,FALSE,FALSE,TRUE,-0.241,0.928,-0.0259,0.346,-0.781,1.08,-0.566,0.503,-0.54,0.157
 ribosomal protein L7/L12 domain-containing protein ,AT1G70190.2,0.008340262077053025,0.009854320592133566,0.010883407593806684,0.0016028146702388826,0.138,0.0276,0.436,0.0365,FALSE,TRUE,FALSE,TRUE,TRUE,0.725,0.707,0.751,0.906,-0.292,0.672,-0.266,0.871,-1.02,-0.0343
 Ribosomal protein S5 family protein ,AT1G64880.1,0.0010945559451119343,0.0011503655453888129,0.006917105853296884,2.71310396928674e-4,0.0305,0.00137,0.394,0.00518,TRUE,TRUE,FALSE,TRUE,TRUE,1.28,1.27,1.09,1.48,0.373,0.487,0.183,0.697,-0.907,-0.786
 Ribosomal S17 family protein ,AT3G10610.1,0.6853650889439771,0.32836346093944135,0.8359892427481235,0.0014956489880846669,0.819,0.644,0.892,0.0345,FALSE,FALSE,FALSE,TRUE,TRUE,0.296,-0.723,-0.163,-2.67,-0.775,1.33,-1.24,-0.613,-1.07,2.05
