AGI,description,   lp-BN PAGE ,,                      SVC,                     Waltz,,SUBAcon,GFP ,MS,cytosolic ribosome ,plastid ribosome
AT1G49400," nucleic acid-binding, OB-fold-like protein",,mtSSU (prob.),-,,mtSSU,cytosol,-,-,-,-
AT1G47278, ?,,mtSSU (prob.),-,,mtSSU,mitochondrion,-,+,-,-
AT1G31817, ribosomal L18p/L5e family protein,,mtSSU (prob.),mtSSU,,mtSSU,mitochondrion,-,+,-,-
AT5G47320, 40S ribosomal protein S19 (RPS19),,mtSSU (prob.),mtSSU,,mtSSU,mitochondrion,-,+,-,-
AT1G19520, NFD5/rPPR2 (P-class),,mtSSU (prob.),mtSSU,,mtSSU,mitochondrion,-,+,-,-
AT1G55890, rPPR3a (P-class),,mtSSU (prob.),mtSSU,,mtSSU,mitochondrion,-,+,-,-
AT1G53645, hydroxyproline-rich glycoprotein family protein,,mtSSU (prob.),mtSSU,,mtSSU,mitochondrion,-,+,-,-
ATMG01270, ribosomal S7 family protein,,mtSSU (prob.),other,,mtSSU,mitochondrion,-,+,-,-
AT1G18630, glycine-rich RNA-binding protein 6 (GRRBP6),,mtSSU (prob.),other,,mtSSU,mitochondrion,-,+,-,-
AT1G16740, 50S ribosomal protein L20 (RPL20),,mtLSU (core),-,,mtLSU,mitochondrion,-,+,-,-
AT1G27435, ?,,mtLSU (core),-,,mtLSU,mitochondrion,-,+,-,-
AT3G51010, protein translocase subunit ,,mtLSU (core),-,,mtLSU,mitochondrion,-,+,-,-
AT5G39800, ribosomal protein L27,,mtLSU (core),-,,mtLSU,mitochondrion,-,+,-,-
ATMG00080, 60S ribosomal protein L16 (RPL16),,mtLSU (core),-,,mtLSU,mitochondrion,-,+,-,-
AT1G24240, ribosomal L19 family protein,,mtLSU (core),mtLSU,,mtLSU,mitochondrion,-,+,-,-
AT4G30930, 50S ribosomal protein L21 (RPL21M),,mtLSU (core),mtLSU,,mtLSU,mitochondrion,+,+,-,-
AT5G53070, ribosomal L9 family protein,,mtLSU (core),mtLSU,,mtLSU,mitochondrion,-,+,-,-
AT4G36680, rPPR7 (P-class),,mtLSU (core),mtLSU,,mtLSU,mitochondrion,-,+,-,-
AT3G01790, ribosomal L13 family protein,,mtLSU (core),mtLSU,,mtLSU,mitochondrion,+,+,-,-
AT5G46160, 50S ribosomal protein (HLP),,mtLSU (core),mtLSU,,mtLSU,mitochondrion,+,+,-,-
AT5G64670, ribosomal L15 family protein,,mtLSU (core),mtLSU,,mtLSU,mitochondrion,-,+,-,-
AT4G39880," ribosomal L23 family protein, putative",,mtLSU (core),mtLSU,,mtLSU,mitochondrion,-,+,-,-
AT5G23535, 50S ribosomal protein L24,,mtLSU (core),mtLSU,,mtLSU,mitochondrion,-,+,-,-
AT3G17465, 50S ribosomal protein L3-2 (RPL3B),,mtLSU (core),mtLSU,,mtLSU,mitochondrion,-,+,-,-
AT4G31460," ribosomal L28 family protein, putative",,mtLSU (core),other,,mtLSU,mitochondrion,-,+,-,-
AT2G37230, rPPR5 (P-class),,mtLSU (core),other,,mtLSU,plastid,-,+,-,-
AT4G28360," ribosomal L22 family protein, putative",,mtLSU (core),other,,mtLSU,mitochondrion,-,+,-,-
AT5G40080, ribosomal protein L27 (MRLP27),,mtLSU (pot.),-,,mtLSU,mitochondrion,-,-,-,-
AT1G52370, ribosomal L22 family protein,,mtLSU (prob.),-,,mtLSU,mitochondrion,-,+,-,-
AT5G09770," ribosomal L17 family protein, putative",,mtLSU (prob.),mtLSU,,mtLSU,mitochondrion,-,+,-,-
AT5G66860, ribosomal L25 family protein /GLN-tRNA synth.,,mtLSU (prob.),mtLSU,,mtLSU,mitochondrion,-,+,-,-
AT4G35490, ribosomal protein L11 (MRPL11),,mtLSU (prob.),mtLSU,,mtLSU,mitochondrion,-,+,-,-
AT5G55140, ribosomal L30 family protein,,mtLSU (prob.),mtLSU,,mtLSU,mitochondrion,-,+,-,-
AT1G73940, tumor necrosis factor receptor family protein,,mtLSU (prob.),other,,mtLSU,mitochondrion,+,+,-,-
AT1G07830, ribosomal L29 family protein,,mtLSU (prob.),other,,mtLSU,mitochondrion,-,+,-,-
AT2G20060, 50S ribosomal protein L4 (RPL4),,mtLSU (prob.),other,,mtLSU,mitochondrion,-,+,-,-
