Locus Identifier	Gene Model Name	Gene Model Description	Gene Model Type	Primary Gene Symbol	All Gene Symbols
AT5G08010	AT5G08010.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G73470	AT1G73470.3	hypothetical protein;(source:Araport11)	protein_coding			
AT1G15590	AT1G15590.1	E3 ubiquitin-protein ligase;(source:Araport11)	protein_coding			
AT4G15056	AT4G15056.1	hypothetical protein;(source:Araport11)	protein_coding			
AT2G34100	AT2G34100.1	nonsense-mediated mRNA decay-like protein;(source:Araport11)	protein_coding			
AT2G04280	AT2G04280.1	calcium ion-binding protein;(source:Araport11)	protein_coding			
AT4G29790	AT4G29790.1	serine/arginine repetitive matrix protein;(source:Araport11)	protein_coding			
AT5G28730	AT5G28730.1	nuclease;(source:Araport11)	protein_coding			
AT2G01554	AT2G01554.1	hypothetical protein;(source:Araport11)	protein_coding			
AT3G09730	AT3G09730.2	POLAR LOCALIZATION DURING ASYMMETRIC DIVISION AND protein;(source:Araport11)	protein_coding			
AT4G20470	AT4G20470.1	transmembrane protein;(source:Araport11)	protein_coding			
AT4G04614	AT4G04614.1	hypothetical protein;(source:Araport11)	protein_coding			
AT4G10080	AT4G10080.1	transmembrane protein;(source:Araport11)	protein_coding			
AT2G42180	AT2G42180.1	cotton fiber protein;(source:Araport11)	protein_coding			
AT3G54520	AT3G54520.1	hypothetical protein;(source:Araport11)	protein_coding			
AT2G29263	AT2G29263.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G47495	AT1G47495.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G12010	AT5G12010.1	nuclease;(source:Araport11)	protein_coding			
AT1G56320	AT1G56320.1	hypothetical protein;(source:Araport11)	protein_coding			
AT3G19870	AT3G19870.1	AP-5 complex subunit beta-like protein;(source:Araport11)	protein_coding			
AT2G40745	AT2G40745.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G35460	AT5G35460.1	membrane protein;(source:Araport11)	protein_coding			
AT2G11851	AT2G11851.1	hypothetical protein;(source:Araport11)	protein_coding			
AT4G23970	AT4G23970.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G44005	AT5G44005.1	hypothetical protein;(source:Araport11)	protein_coding			
AT3G44760	AT3G44760.1	transmembrane protein;(source:Araport11)	protein_coding			
AT5G02650	AT5G02650.1	hypothetical protein;(source:Araport11)	protein_coding			
AT4G22650	AT4G22650.1	lipid transfer protein;(source:Araport11)	protein_coding			
AT3G25011	AT3G25011.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G64160	AT5G64160.1	plant/protein;(source:Araport11)	protein_coding			
AT3G28674	AT3G28674.1	transmembrane protein;(source:Araport11)	protein_coding			
AT2G42395	AT2G42395.1	hypothetical protein;(source:Araport11)	protein_coding			
AT4G26290	AT4G26290.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G02510	AT5G02510.1	UDP-glucose 6-dehydrogenase;(source:Araport11)	protein_coding			
AT5G41100	AT5G41100.1	hydroxyproline-rich glycoprotein family protein;(source:Araport11)	protein_coding			
AT5G62960	AT5G62960.1	UDP-N-acetylglucosamine-N-acetylmuramyl-pyrophosphoryl-undecaprenol N-acetylglucosamine protein;(source:Araport11)	protein_coding			
AT2G16015	AT2G16015.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G78150	AT1G78150.3	N-lysine methyltransferase;(source:Araport11)	protein_coding			
AT4G02489	AT4G02489.1	reverse transcriptase;(source:Araport11)	protein_coding			
AT2G07701	AT2G07701.1	hypothetical protein;(source:Araport11)	protein_coding			
AT3G42800	AT3G42800.1	AF-like protein;(source:Araport11)	protein_coding			
AT1G76960	AT1G76960.1	transmembrane protein;(source:Araport11)	protein_coding			
AT2G17960	AT2G17960.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G15560	AT5G15560.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G07330	AT1G07330.1	dentin sialophosphoprotein;(source:Araport11)	protein_coding			
AT2G10975	AT2G10975.1	hypothetical protein;(source:Araport11)	protein_coding			
AT2G38646	AT2G38646.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G22120	AT5G22120.1	coiled-coil protein;(source:Araport11)	protein_coding			
AT1G04985	AT1G04985.1	triacylglycerol lipase-like protein;(source:Araport11)	protein_coding			
AT2G04360	AT2G04360.1	transmembrane protein;(source:Araport11)	protein_coding			
AT4G15030	AT4G15030.2	folate-sensitive fragile site protein;(source:Araport11)	protein_coding			
AT1G23270	AT1G23270.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G15230	AT1G15230.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G76980	AT1G76980.1	patatin-like phospholipase domain protein;(source:Araport11)	protein_coding			
AT1G26140	AT1G26140.1	hypothetical protein;(source:Araport11)	protein_coding			
AT4G04972	AT4G04972.1	hypothetical protein;(source:Araport11)	protein_coding			
AT3G08636	AT3G08636.1	hypothetical protein;(source:Araport11)	protein_coding			
AT4G18690	AT4G18690.1	delay of germination protein;(source:Araport11)	protein_coding			
AT1G20460	AT1G20460.1	NADH-ubiquinone oxidoreductase chain;(source:Araport11)	protein_coding			
AT4G09660	AT4G09660.1	zinc finger MYM-type-like protein;(source:Araport11)	protein_coding			
AT1G19020	AT1G19020.1	CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase;(source:Araport11)	protein_coding			
AT2G42110	AT2G42110.1	hypothetical protein;(source:Araport11)	protein_coding			
AT3G29560	AT3G29560.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G57887	AT5G57887.1	transmembrane protein;(source:Araport11)	protein_coding			
AT4G34690	AT4G34690.1	transmembrane protein;(source:Araport11)	protein_coding			
AT2G07672	AT2G07672.1	hypothetical protein;(source:Araport11)	protein_coding			
AT3G11800	AT3G11800.1	Expp1 protein;(source:Araport11)	protein_coding			
AT5G40180	AT5G40180.1	Pmr5/Cas1p GDSL/SGNH-like acyl-esterase family protein;(source:Araport11)	protein_coding			
AT1G33102	AT1G33102.1	hypothetical protein;(source:Araport11)	protein_coding			
AT2G34110	AT2G34110.1	hypothetical protein;(source:Araport11)	protein_coding			
AT3G61826	AT3G61826.1	This gene encodes a small protein and has either evidence of transcription or purifying selection.	protein_coding			
AT3G07210	AT3G07210.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G14680	AT1G14680.1	early endosome antigen;(source:Araport11)	protein_coding			
AT1G22060	AT1G22060.1	sporulation-specific protein;(source:Araport11)	protein_coding			
AT1G23830	AT1G23830.1	transmembrane protein;(source:Araport11)	protein_coding			
AT4G39060	AT4G39060.1	LOW protein: coatomer subunit alpha-1-like protein;(source:Araport11)	protein_coding			
AT5G16110	AT5G16110.1	hypothetical protein;(source:Araport11)	protein_coding			
AT2G02498	AT2G02498.1	transmembrane protein;(source:Araport11)	protein_coding			
AT1G47820	AT1G47820.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G02710	AT5G02710.1	zinc/iron-chelating domain protein;(source:Araport11)	protein_coding			
AT5G64395	AT5G64395.1	This gene encodes a small protein and has either evidence of transcription or purifying selection.	protein_coding			
AT2G24310	AT2G24310.1	TPRXL;(source:Araport11)	protein_coding			
AT4G01670	AT4G01670.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G03130	AT5G03130.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G61920	AT1G61920.1	transmembrane protein;(source:Araport11)	protein_coding			
AT3G47675	AT3G47675.1	ternary complex factor MIP1 leucine-zipper protein;(source:Araport11)	protein_coding			
AT5G20120	AT5G20120.1	testis- and ovary-specific PAZ domain protein;(source:Araport11)	protein_coding			
AT1G31990	AT1G31990.1	transmembrane protein;(source:Araport11)	protein_coding			
AT1G26580	AT1G26580.1	ELM2 domain protein;(source:Araport11)	protein_coding			
AT4G36980	AT4G36980.4	CLK4-associating serine/arginine-rich protein;(source:Araport11)	protein_coding			
AT4G01703	AT4G01703.1	This gene encodes a small protein and has either evidence of transcription or purifying selection.	protein_coding			
AT3G07150	AT3G07150.1	amino acid-ligase;(source:Araport11)	protein_coding			
AT2G19270	AT2G19270.1	mitotic checkpoint protein PRCC-carboxy-term protein;(source:Araport11)	protein_coding			
AT4G18320	AT4G18320.2	hypothetical protein;(source:Araport11)	protein_coding			
AT1G24256	AT1G24256.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G64050	AT1G64050.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G25112	AT1G25112.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G40690	AT5G40690.1	histone-lysine N-methyltransferase trithorax-like protein;(source:Araport11)	protein_coding			
AT2G35736	AT2G35736.1	hypothetical protein;(source:Araport11)	protein_coding			
AT3G03370	AT3G03370.2	hypothetical protein;(source:Araport11)	protein_coding			
AT2G16586	AT2G16586.1	transmembrane protein;(source:Araport11)	protein_coding			
AT2G31600	AT2G31600.1	INO80 complex subunit D-like protein;(source:Araport11)	protein_coding			
AT5G05220	AT5G05220.1	hypothetical protein;(source:Araport11)	protein_coding			
AT3G32130	AT3G32130.1	non-LTR retroelement reverse transcriptase;(source:Araport11)	protein_coding			
AT1G09176	AT1G09176.1	transmembrane protein;(source:Araport11)	protein_coding			
AT3G50610	AT3G50610.1	DNA-directed RNA polymerase II subunit RPB1-like protein;(source:Araport11)	protein_coding			
AT5G16030	AT5G16030.3	mental retardation GTPase activating protein;(source:Araport11)	protein_coding			
AT3G27210	AT3G27210.1	hypothetical protein;(source:Araport11)	protein_coding			
AT2G17300	AT2G17300.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G52855	AT1G52855.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G56270	AT1G56270.1	RPB1a;(source:Araport11)	protein_coding			
AT5G16160	AT5G16160.1	hypothetical protein;(source:Araport11)	protein_coding			
AT2G40004	AT2G40004.1	transmembrane protein;(source:Araport11)	protein_coding			
AT1G45170	AT1G45170.1	outer envelope pore 24B-like protein;(source:Araport11)	protein_coding			
AT4G26660	AT4G26660.1	kinesin-like protein;(source:Araport11)	protein_coding			
AT1G72020	AT1G72020.1	TonB-dependent heme receptor A;(source:Araport11)	protein_coding			
AT1G16170	AT1G16170.1	ephrin-A3 protein;(source:Araport11)	protein_coding			
AT5G65880	AT5G65880.1	transmembrane protein;(source:Araport11)	protein_coding			
AT3G05070	AT3G05070.1	Cwf18 pre-mRNA splicing factor;(source:Araport11)	protein_coding			
AT3G04490	AT3G04490.1	exportin-4 protein;(source:Araport11)	protein_coding			
AT1G46336	AT1G46336.1	transmembrane protein;(source:Araport11)	protein_coding			
AT1G24390	AT1G24390.1	hypothetical protein;(source:Araport11)	protein_coding			
AT3G46150	AT3G46150.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G59050	AT5G59050.1	G patch domain protein;(source:Araport11)	protein_coding			
AT2G14910	AT2G14910.1	MAR-binding filament-like protein;(source:Araport11)	protein_coding			
AT1G79170	AT1G79170.1	transmembrane protein;(source:Araport11)	protein_coding			
AT2G24683	AT2G24683.1	hypothetical protein;(source:Araport11)	protein_coding			
AT2G34530	AT2G34530.1	transmembrane protein;(source:Araport11)	protein_coding			
AT4G16008	AT4G16008.1	hypothetical protein;(source:Araport11)	protein_coding			
AT2G34585	AT2G34585.1	transmembrane protein;(source:Araport11)	protein_coding			
AT3G49601	AT3G49601.1	pre-mRNA-splicing factor;(source:Araport11)	protein_coding			
AT4G08270	AT4G08270.1	glutathione S-transferase T3-like protein;(source:Araport11)	protein_coding			
AT1G56020	AT1G56020.1	serine/arginine repetitive matrix-like protein;(source:Araport11)	protein_coding			
AT4G18400	AT4G18400.1	hypothetical protein;(source:Araport11)	protein_coding			
AT4G05632	AT4G05632.1	hypothetical protein;(source:Araport11)	protein_coding			
AT3G42310	AT3G42310.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G38060	AT5G38060.1	carboxypeptidase;(source:Araport11)	protein_coding			
AT1G03240	AT1G03240.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G52343	AT1G52343.1	transmembrane protein;(source:Araport11)	protein_coding			
AT5G36800	AT5G36800.1	transmembrane protein;(source:Araport11)	protein_coding			
AT3G26800	AT3G26800.1	transmembrane protein;(source:Araport11)	protein_coding			
AT3G01513	AT3G01513.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G19010	AT1G19010.1	hypothetical protein;(source:Araport11)	protein_coding			
AT3G55690	AT3G55690.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G37730	AT5G37730.1	hypothetical protein;(source:Araport11)	protein_coding			
AT2G21960	AT2G21960.1	transmembrane protein;(source:Araport11)	protein_coding			
AT4G30010	AT4G30010.1	ATP-dependent RNA helicase;(source:Araport11)	protein_coding			
AT5G29613	AT5G29613.1	hypothetical protein;(source:Araport11)	protein_coding			
AT4G16400	AT4G16400.1	transmembrane protein;(source:Araport11)	protein_coding			
AT2G24460	AT2G24460.1	C3HC4-type RING finger protein;(source:Araport11)	protein_coding			
AT2G38695	AT2G38695.3	Gag-Pol polyprotein/retrotransposon;(source:Araport11)	protein_coding			
AT5G10780	AT5G10780.2	ER membrane protein complex subunit-like protein;(source:Araport11)	protein_coding			
AT1G45163	AT1G45163.1	transmembrane protein;(source:Araport11)	protein_coding			
AT4G27652	AT4G27652.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G27435	AT1G27435.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G05965	AT5G05965.1	cell wall RBR3-like protein;(source:Araport11)	protein_coding			
AT1G27530	AT1G27530.1	ubiquitin-fold modifier-conjugating enzyme;(source:Araport11)	protein_coding			
AT5G61300	AT5G61300.1	hypothetical protein;(source:Araport11)	protein_coding			
AT3G50430	AT3G50430.1	golgin;(source:Araport11)	protein_coding			
AT4G09850	AT4G09850.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G27860	AT5G27860.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G45660	AT5G45660.1	adenine phosphoribosyltransferase;(source:Araport11)	protein_coding			
AT3G46750	AT3G46750.1	low-temperature-induced protein;(source:Araport11)	protein_coding			
AT2G13126	AT2G13126.1	hypothetical protein;(source:Araport11)	protein_coding			
AT3G55420	AT3G55420.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G35181	AT1G35181.1	transmembrane protein;(source:Araport11)	protein_coding			
AT3G05935	AT3G05935.1	hypothetical protein;(source:Araport11)	protein_coding			
AT2G31862	AT2G31862.1	B3 domain protein;(source:Araport11)	protein_coding			
AT1G05085	AT1G05085.1	hypothetical protein;(source:Araport11)	protein_coding			
AT3G51230	AT3G51230.1	chalcone-flavanone isomerase family protein;(source:Araport11)	protein_coding			
AT3G43870	AT3G43870.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G10790	AT1G10790.1	hydroxyproline-rich glycoprotein family protein;(source:Araport11)	protein_coding			
AT2G14289	AT2G14289.1	hypothetical protein;(source:Araport11)	protein_coding			
AT2G25720	AT2G25720.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G60650	AT5G60650.1	proline-rich receptor-like kinase;(source:Araport11)	protein_coding			
AT1G76728	AT1G76728.1	transmembrane protein;(source:Araport11)	protein_coding			
AT1G72500	AT1G72500.1	inter alpha-trypsin inhibitor, heavy chain-like protein;(source:Araport11)	protein_coding			
AT2G40390	AT2G40390.1	neuronal PAS domain protein;(source:Araport11)	protein_coding			
AT3G52610	AT3G52610.1	GATA zinc finger protein;(source:Araport11)	protein_coding			
AT1G32583	AT1G32583.1	A microRNA MIR400 is derived from the first intron of At1g32583 in the 5'UTR. A stress-induced alternative splicing event in At1g32583 resulted in greater accumulation of miR400 primary transcripts and a low level of mature miR400.	protein_coding			
AT2G07835	AT2G07835.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G34042	AT1G34042.1	hypothetical protein;(source:Araport11)	protein_coding			
AT4G28085	AT4G28085.1	transmembrane protein;(source:Araport11)	protein_coding			
AT3G27410	AT3G27410.1	transmembrane protein;(source:Araport11)	protein_coding			
AT1G52905	AT1G52905.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G02575	AT1G02575.1	transmembrane protein;(source:Araport11)	protein_coding			
AT1G16080	AT1G16080.1	nuclear protein;(source:Araport11)	protein_coding			
AT4G24380	AT4G24380.1	dihydrofolate reductase;(source:Araport11)	protein_coding			
AT2G42780	AT2G42780.1	transcription elongation factor B polypeptide;(source:Araport11)	protein_coding			
AT5G17350	AT5G17350.1	hypothetical protein;(source:Araport11)	protein_coding			
AT2G34224	AT2G34224.1	hypothetical protein;(source:Araport11)	protein_coding			
AT3G11310	AT3G11310.1	Myb/SANT-like DNA-binding domain protein;(source:Araport11)	protein_coding			
AT1G21950	AT1G21950.1	transmembrane protein;(source:Araport11)	protein_coding			
AT5G03995	AT5G03995.1	hypothetical protein;(source:Araport11)	protein_coding			
