"","AGI","description","location_consensus","left","right","direction","encoded","clp1_RNA_log2fc","clp1_RNA_padj","clp1_Protein_membrane_log2fc","clp1_Protein_membrane_padj","clp1_Protein_soluble_log2fc","clp1_Protein_soluble_padj","clp2_RNA_log2fc","clp2_RNA_padj","clp2_Protein_membrane_log2fc","clp2_Protein_membrane_padj","clp2_Protein_soluble_log2fc","clp2_Protein_soluble_padj"
"22","AT1G10950.1","transmembrane nine 1;Encodes an Arabidopsis Transmembrane nine (TMN) protein.  Transmembrane nine (TM9) proteins are localized in the secretory pathway of eukaryotic cells and are involved in cell adhesion and phagocytosis.","golgi",3659209,3663984,"forward","Nucleus",0.0412004572793659,0.932998743180225,0.0583,0.794,-0.452,0.711,0.0401505124017437,0.634926414418266,-0.675,0.805,-0.058,0.848
"23","AT1G11860.1","Glycine cleavage T-protein family;","mitochondrion",4001295,4003442,"forward","Nucleus",0.0121146852125484,0.986673363689397,-0.416,0.0222,-0.285,0.0872,0.554988161440084,0.000248185175385548,-0.389,0.399,-0.275,0.316
"24","AT1G12840.1","vacuolar ATP synthase subunit C (VATC) / V-ATPase C subunit / vacuolar proton pump C subunit (DET3);Encodes subunit C of the vacuolar H(+)-ATPase (V-ATPase).  Bound and phosphorylated by AtWNK8.","golgi,vacuole",4375515,4378514,"forward","Nucleus",0.0520768754868981,0.86627517775711,-0.439,0.556,0.0189,0.834,0.0449792260523839,0.644816218415278,-0.597,0.734,-0.47,0.652
"25","AT1G13440.1","GAPC1","cytosol,nucleus",4608196,4610647,"reverse","Nucleus",-0.0281066355256202,0.956156101149014,-1.64,0.0638,-0.0483,0.829,-0.205721287291132,0.0552007919851803,-2.1,0.298,-0.152,0.83
"26","AT1G13440.2","GAPC2","cytosol,nucleus",4608196,4610647,"reverse","Nucleus",-0.0281066355256202,0.956156101149014,-1.82,0.0306,-0.0483,0.829,-0.205721287291132,0.0552007919851803,-1.75,0.411,-0.152,0.83
"27","AT1G14060.1","GCK domain-containing protein;","nucleus",4817144,4818020,"reverse","Nucleus",0.00522180086180248,0.998022334505606,-0.438,0.142,-0.00592,0.836,-0.347619573274432,0.00618348565318266,-0.248,0.763,0.292,0.528
"28","AT1G14450.1","NADH dehydrogenase (ubiquinone)s;","mitochondrion",4946218,4947576,"reverse","Nucleus",-0.0131766774652574,0.99184527602821,-0.038,0.79,-0.103,0.79,0.029056943695712,0.866032613780156,-0.376,0.781,-0.472,0.552
"29","AT1G14670.1","TMN2","golgi",5037612,5040528,"forward","Nucleus",0.000156619410437443,0.999711578275955,-0.373,0.617,-0.518,0.456,-0.156901956311838,0.174262692014399,-0.255,0.84,-0.225,0.79
"30","AT1G14670.2","TMN3","golgi",5037612,5040528,"forward","Nucleus",0.000156619410437443,0.999711578275955,-0.0224,0.799,-0.428,0.636,-0.156901956311838,0.174262692014399,-0.593,0.776,-0.0362,0.849
"31","AT1G14980.1","chaperonin 10;Encodes mitochondrial-localized chaperonin 10 that complements the E.coli groES mutant. Its mRNA is upregulated in response to heat shock treatment and is expressed uniformly in various organs.","mitochondrion",5165628,5166745,"reverse","Nucleus",0.0117587087875159,0.93605096232075,-0.197,0.358,-0.0409,0.789,0.144382425776932,0.342025138611921,-0.183,0.736,0.0419,0.821
"32","AT1G15120.1","Ubiquinol-cytochrome C reductase hinge protein;","mitochondrion,cytosol",5202648,5204193,"forward","Nucleus",-0.0164877053065366,0.998022334505606,-1.63,3.96e-05,-0.25,0.666,0.0373311652795858,0.72606236841165,-1.09,0.312,-0.236,0.756
"33","AT1G15690.1","Inorganic H pyrophosphatase family protein;Encodes a H(+)-translocating (pyrophosphate-energized) inorganic pyrophosphatase (H(+)-PPase; EC 3.6.1.1) located in the vacuolar membrane. Expression is found in all tissues examined, including meristems and floral organ primordium. Expression is particularly enhanced in pollen, and is repressed by light. Over expression and loss of function phenotypes suggest AVP1 is involved in regulation of apoplastic pH and auxin transport. The effect on auxin transport likely involves effects of extracellular pH on subcellular localization of auxin efflux carriers such as PIN1.","vacuole",5398990,5402519,"forward","Nucleus",0.0457091058882131,0.866914111901458,-0.171,0.701,-0.185,0.71,0.693278275884496,3.48081743891577e-10,-1.02,0.286,-0.313,0.67
"34","AT1G15810.1","S15/NS1, RNA-binding protein;","mitochondrion",5444418,5446564,"forward","Nucleus",0.0105678294441039,0.997882524266439,0.0867,0.771,0.247,0.698,-0.0192882996141464,0.9182937794592,-0.141,0.858,-0.152,0.809
"35","AT1G15820.1","light harvesting complex photosystem II subunit 6;Lhcb6 protein (Lhcb6), light harvesting complex of photosystem II.","plastid",5446462,5447859,"reverse","Nucleus",0.00764779369012696,0.98388428624281,-1.06,0.134,0.00705,0.838,0.388459612106934,0.0889927280831474,-0.369,0.823,-0.385,0.736
"36","AT1G16700.1","Alpha-helical ferredoxin;","mitochondrion",5709725,5711902,"forward","Nucleus",0.0650854834454222,0.707897390631697,-0.543,0.675,-0.000554,0.839,0.0119498791311559,0.958306565635021,-0.311,0.857,-1.24,0.495
"37","AT1G16870.1","mitochondrial 28S ribosomal protein S29-related;","mitochondrion",5770732,5773251,"reverse","Nucleus",0.0482059424680344,0.825693661010889,0.82,0.037,0.487,0.2,0.178449281939238,0.151138726277932,0.464,0.692,0.453,0.473
"38","AT1G17290.1","alanine aminotransferas;Encodes for alanine aminotransferase (ALAAT1), involved in alanine catabolism during plants recovery from hypoxia","mitochondrion",5922630,5926400,"forward","Nucleus",-0.00959001611530178,0.998022334505606,-0.29,0.166,-0.167,0.459,-0.0562015115962837,0.689986349854646,-0.18,0.754,-0.223,0.467
"39","AT1G18500.1","methylthioalkylmalate synthase-like 4;Encodes an active Arabidopsis isopropylmalate synthase IPMS1.  Involved in leucine biosynthesis.  Do not participate in the chain elongation of glucosinolates.  Expressed constitutively throughout the plant. Loss of IPMS1 can be compensated by a second isopropylmalate synthase gene IPMS2 (At1g74040).","plastid",6369347,6373025,"forward","Nucleus",0.00462860121400262,0.999711578275955,0.395,0.601,-0.536,0.436,0.260553336847557,0.00102437713967161,0.0165,0.879,-0.611,0.544
"40","AT1G19140.1","ubiquinone biosynthesis COQ9-like protein;(source:Araport11)","mitochondrion",6610773,6612516,"reverse","Nucleus",0.00497364982856896,0.998939767660952,-0.0207,0.79,0.13,0.69,0.105301146882514,0.435176186340081,-0.0457,0.867,0.255,0.574
"41","AT1G19360.1","Nucleotide-diphospho-sugar transferase family protein;","golgi",6690456,6692477,"reverse","Nucleus",-0.0168070594466183,0.952659261783747,-0.146,0.716,-0.329,0.484,-0.354797882284568,0.0628312092898455,-0.313,0.783,-0.233,0.733
"42","AT1G19520.1","pentatricopeptide (PPR) repeat-containing protein;","mitochondrion",6759965,6761235,"forward","Nucleus",0.00942395062128025,0.998022334505606,0.782,0.000117,0.62,0.000546,-0.0687892456958504,0.620571769637051,0.585,0.282,0.719,0.00441
"43","AT1G19580.1","gamma carbonic anhydrase 1;Encodes mitochondrial gamma carbonic anhydrase. Component of the NADH dehydrogenase complex.","mitochondrion",6774763,6777456,"forward","Nucleus",0.0193105313140583,0.970224950517315,-0.691,0.191,0.0266,0.829,0.187727775817096,0.165942872290062,-1.12,0.317,0.0189,0.851
"44","AT1G20430.1","hypothetical protein;(source:Araport11)","mitochondrion",7083196,7083835,"reverse","Nucleus",-0.00373366404786402,0.998939767660952,-0.326,0.678,0.653,0.386,-0.0462980166615668,0.820130533608276,-0.0656,0.874,0.62,0.601
"45","AT1G20510.1","OPC-8:0 CoA ligase1;","peroxisome,plastid",7103459,7105869,"reverse","Nucleus",-0.0274009245619715,0.917302884556826,-0.861,0.00702,-0.122,0.746,-0.195191848417485,0.181631564361698,-1.4,0.0135,-0.123,0.794
"46","AT1G20560.1","acyl activating enzyme 1;","peroxisome",7119676,7121817,"reverse","Nucleus",0.0200935919511824,0.98388428624281,-0.0639,0.773,0.0991,0.783,0.0139647366242395,0.9368660934132,-0.0583,0.869,-0.127,0.804
"47","AT1G20620.1","catalase 3;Catalase, catalyzes the breakdown of hydrogen peroxide (H2O2) into water and oxygen.","peroxisome",7143067,7146540,"forward","Nucleus",0.0200147282824565,0.884607538659172,-0.221,0.573,0.105,0.752,-0.172613085838559,0.385335383108948,-0.433,0.62,-0.075,0.819
"48","AT1G20630.1","catalase 1;Catalyzes the reduction of hydrogen peroxide using heme group as cofactor. Protects cells from toxicity by H2O2.","peroxisome",7146636,7149977,"forward","Nucleus",-0.025283117726483,0.960725523951276,-1.44,0.126,-0.000362,0.839,0.168692233880921,0.174814744418244,-1.25,0.615,0.247,0.812
"49","AT1G21750.1","PDI-like 1-1;Encodes a protein disulfide isomerase-like (PDIL) protein, a member of a multigene family within the thioredoxin (TRX) superfamily; isoform contains non-consensus GA donor splice site at intron 9. Transcript levels for this gene are up-regulated in response to three different chemical inducers of ER stress (dithiothreitol, beta-mercaptoethanol, and tunicamycin). Neither AtIRE1-2 nor AtbZIP60 appear to be required for this response.","endoplasmic,reticulum",7645700,7648841,"forward","Nucleus",-0.0016635095278456,0.999108352988235,0.033,0.791,-0.24,0.663,-0.18457810096552,0.115567398029622,-0.984,0.347,-0.0133,0.852
"50","AT1G22450.1","cytochrome C oxidase 6B;subunit 6b of cytochrome c oxidase","mitochondrion",7925121,7927278,"forward","Nucleus",0.0015572832738165,0.99926556645415,-1.06,0.0161,-0.318,0.574,0.0579215606895373,0.663099143861587,-1.35,0.152,0.104,0.821
"51","AT1G22520.1","Domain of unknown function (DUF543);","mitochondrion,plasma,membrane",7953022,7954418,"reverse","Nucleus",-0.00629813316936404,0.998022334505606,-0.468,0.487,-0.0658,0.815,0.111521730597791,0.493456006107714,-0.544,0.734,0.0133,0.853
"52","AT1G22840.1","CYTOCHROME C-1;Encodes cytochrome c. Contains two site II (TGGGCC/T) elements, which interact with a  TCP-domain transcription factor, and a downstream  internal telomeric repeat, and are required for expression of the Cytc-1 gene. Promoter directs preferential expression in root and shoot meristems and in anthers.","mitochondrion",8079287,8080574,"forward","Nucleus",0.0207088603906116,0.98388428624281,-0.0614,0.795,-0.189,0.804,0.00789195835820271,0.969295041307601,-0.166,0.869,0.879,0.656
"53","AT1G23100.1","GroES-like family protein;","mitochondrion",8195776,8196475,"forward","Nucleus",0.02552525235867,0.804253475166253,-0.39,0.49,0.46,0.339,0.642429276927066,0.000859128269287549,-0.152,0.85,0.31,0.697
"54","AT1G23310.1","glutamate:glyoxylate aminotransferase;Identified by cloning the gene that corresponded to a purified protein having glyoxylate aminotransferase activity. Localized to the peroxisome and thought to be involved in photorespiration/ metabolic salvage pathway.","peroxisome,cytosol",8268404,8271933,"reverse","Nucleus",0.000110059426150354,0.999108352988235,-0.29,0.484,0.0637,0.798,0.342231139809795,0.067200189958063,-0.364,0.711,-0.125,0.79
"55","AT1G23800.1","aldehyde dehydrogenase 2B7;Encodes a mitochondrial aldehyde dehydrogenase; nuclear gene for mitochondrial product.","mitochondrion",8412051,8414879,"reverse","Nucleus",0.0212275523517933,0.874703280272726,-0.359,0.609,-0.247,0.712,-0.0796853716724271,0.724386769163981,-0.207,0.847,0.119,0.824
"56","AT1G24180.1","Thiamin diphosphate-binding fold (THDP-binding) superfamily protein;Arabidopsis thaliana pyruvate dehydrogenase E1a-like subunit. 81% identical to a previously characterized Arabidopsis mitochondrial PDH E1a-subunit, At1g59900","mitochondrion",8560525,8563495,"reverse","Nucleus",-0.0187816129571575,0.986673363689397,-0.208,0.281,-0.387,0.00399,-0.0922475062221986,0.607208999708452,-0.285,0.541,-0.431,0.0285
"57","AT1G24280.1","glucose-6-phosphate dehydrogenase 3;Encodes a plastidic glucose-6-phosphate dehydrogenase that is sensitive to reduction by DTT and whose mRNA is most highly expressed in root.","plastid",8609445,8612580,"forward","Nucleus",-0.00325958359873852,0.998022334505606,-0.397,0.589,-0.696,0.218,-0.324679878319459,0.173325133302694,-0.802,0.626,-0.44,0.671
"58","AT1G24610.1","Rubisco methyltransferase family protein;","mitochondrion",8720651,8722746,"reverse","Nucleus",0.00759061070280165,0.998022334505606,-0.0311,0.797,-0.929,0.156,0.290590732074286,0.0291078136054937,-0.0187,0.879,-0.254,0.794
"59","AT1G25380.1","NAD+ transporter 2;Encodes a mitochondrial-localized NAD+ transporter that transports NAD+ in a counter exchange mode with ADP and AMP in vitro.","mitochondrion",8903470,8906002,"forward","Nucleus",0.000515816628358674,0.989686861006954,0.134,0.773,-1.25,0.0962,0.00300365266681843,0.955018333678098,-0.535,0.809,-0.896,0.512
"60","AT1G26460.1","Tetratricopeptide repeat (TPR)-like superfamily protein;","mitochondrion",9151732,9154740,"forward","Nucleus",0.0148199326415644,0.989686861006954,0.492,0.00624,0.159,0.486,0.178734440406089,0.102883110081205,0.58,0.144,0.276,0.335
"61","AT1G27390.1","translocase outer membrane 20-2;Form of TOM20, which is a component of the TOM complex, involved in transport of nuclear-encoded mitochondrial proteins","mitochondrion",9513089,9515001,"reverse","Nucleus",-0.000435295195377697,0.999108352988235,-1.06,0.208,-0.0466,0.828,-0.0490936333198346,0.834131987303915,0.0758,0.873,0.0747,0.842
"62","AT1G27435.1","hypothetical protein;(source:Araport11)","mitochondrion",9527574,9528878,"reverse","Nucleus",0.00127323912474296,0.999108352988235,0.0406,0.793,-0.0858,0.812,0.201859031756811,0.0834718350624032,0.177,0.857,-0.197,0.805
"63","AT1G28510.1","Optic atrophy 3 protein (OPA3);","mitochondrion",10023876,10026295,"forward","Nucleus",-0.00786928646449481,0.998022334505606,-0.537,0.551,-0.347,0.691,-0.0496740885114585,0.74691348013099,-0.675,0.749,0.141,0.826
"64","AT1G28540.1","Tail-anchored (TA) OEP membrane protein which possesses a single C-terminal transmembrane domain targeting post-translationally to plastids.","nucleus",10035664,10036956,"forward","Nucleus",0.00775848715819802,0.989686861006954,0.489,0.422,0.29,0.644,-0.0473519078721085,0.85190526908662,-0.0882,0.867,0.121,0.818
"65","AT1G29810.1","Transcriptional coactivator/pterin dehydratase;","mitochondrion",10435374,10437506,"reverse","Nucleus",-0.0112189908983907,0.98388428624281,-0.133,0.739,-0.536,0.226,-0.201828659552638,0.28452638659603,0.136,0.855,-0.888,0.133
"66","AT1G29900.1","carbamoyl phosphate synthetase B;carbamoyl phosphate synthetase large chain (CARB) mRNA,","plastid",10468054,10472211,"forward","Nucleus",0.041118144531432,0.932920033605324,0.0726,0.78,-0.47,0.483,0.213564937720526,0.0719342352928709,-0.289,0.829,0.231,0.783
"67","AT1G30510.1","root FNR 2;Encodes a root-type ferredoxin:NADP(H) oxidoreductase.","plastid",10806986,10809162,"reverse","Nucleus",-0.0047014101991848,0.998022334505606,-0.108,0.749,-0.312,0.541,-0.488791540378351,0.00963261459046046,-0.568,0.631,-0.191,0.77
"68","AT1G30960.1","GTP-binding family protein;","mitochondrion",11037612,11040033,"reverse","Nucleus",0.0106822589866074,0.974626193969776,-0.402,0.518,0.613,0.192,0.11721966199045,0.592052435146869,-0.409,0.775,0.463,0.585
"69","AT1G31330.1","photosystem I subunit F;Encodes subunit F of photosystem I.","plastid",11214824,11216037,"reverse","Nucleus",0.00187166171825194,0.998939767660952,-0.0578,0.796,1.92,0.0651,0.352392039587057,0.11932387664381,-0.263,0.862,-0.224,0.828
"70","AT1G31817.1","Ribosomal L18p/L5e family protein;","mitochondrion",11414749,11416444,"reverse","Nucleus",0.0243027450881426,0.956156101149014,1.01,0.00261,0.539,0.107,0.0566380241670612,0.741513535340245,0.767,0.402,0.482,0.386
"71","AT1G32470.1","Single hybrid motif superfamily protein;","mitochondrion",11739304,11740361,"reverse","Nucleus",0.00543106490514623,0.998022334505606,-0.15,0.762,-0.118,0.805,0.574751104730197,0.00310281968416389,-0.271,0.846,-0.783,0.508
"72","AT1G32580.1","plastid developmental protein DAG, putative;","mitochondrion",11784057,11785637,"forward","Nucleus",0.0132869307538437,0.985879325204506,1.93,0.235,1.56,0.299,0.119991743257263,0.435195125776983,2.05,0.617,1.48,0.542
"73","AT1G33140.1","RPL9B","cytosol",12023275,12024783,"forward","Nucleus",0.0489158243419023,0.844777682289795,-0.391,0.497,0.187,0.727,0.237316987266031,0.0317519873593116,-0.377,0.777,-0.0994,0.823
"74","AT1G33140.2","RPL9B.1","cytosol",12023275,12024783,"forward","Nucleus",0.0489158243419023,0.844777682289795,-0.0388,0.791,0.187,0.749,0.237316987266031,0.0317519873593116,-0.163,0.854,-0.0994,0.829
"75","AT1G33360.1","ATP-dependent Clp protease;Encodes ClpX3, a subunit of the Clp protease complex.","mitochondrion",12091877,12096025,"forward","Nucleus",-0.0178459568355577,0.947754294437939,-0.573,0.303,-0.148,0.764,0.588608701734982,0.00193153001321898,-0.855,0.515,-0.0695,0.836
"76","AT1G33790.1","jacalin lectin family protein;","cytosol",12256664,12260575,"forward","Nucleus",0.0126431699420253,0.970224950517315,-0.711,0.143,0.11,0.784,0.321889597266186,0.0864641635414859,-0.959,0.391,-0.111,0.818
"77","AT1G34360.1","translation initiation factor 3 (IF-3) family protein;","mitochondrion",12542863,12546172,"forward","Nucleus",-0.00230088638600879,0.998939767660952,1.52,2.84e-05,0.968,0.00402,0.0876813457415664,0.68843693523023,0.791,0.48,0.916,0.083
"78","AT1G35720.1","annexin 1;Encodes a member of the annexin gene family, a diverse, multigene family of calcium-dependent, membrane-binding proteins. The protein was determined to have peroxidase activity. This activity is thought to be dependent on the presence of post-translational modifications (most likely phosphorylation). The protein was shown to be present as a mixture of monomer and homodimer. The homodimerization seems to be dependent on the presence of Ca2+ or H2O2. The dimerization was prevented by the addition of DTT, &#946;-mercaptoethanol and TCEP. Annat1 mRNA is expressed in flowers, roots,leaves and stems and is most abundant in stems. mRNA levels are increased in response to oxidative stress.  Developmental expression patterns suggest a role in Golgi-mediated polysaccharide secretion.","peroxisome",13225197,13227195,"forward","Nucleus",0.0051985232184688,0.998022334505606,-0.552,0.436,0.0345,0.828,-0.138752724345623,0.408316066324,-0.349,0.815,-0.42,0.681
"79","AT1G42960.1",";expressed protein localized to the inner membrane of the chloroplast.","plastid",16125782,16127288,"forward","Nucleus",-0.00521471207614642,0.998333771013429,-0.229,0.75,0.129,0.81,-0.00509403427135077,0.988743135728506,-0.219,0.861,-0.499,0.745
"80","AT1G42970.1","glyceraldehyde-3-phosphate dehydrogenase B subunit;Encodes chloroplast localized glyceraldehyde-3-phosphate dehydrogenase that can use both NADH and NADPH to reduce 1,3-diphosphate glycerate. It forms A2B2 heterotetramers with GapA forms of the GADPH enzyme. These complexes are active in the light under reducing conditions, but show reduced NADPH-dependent activity in response to oxidized thioredoxins and increased NAD(H)/NADP(H) ratios due to the formation of inactive A8B8 hexadecamers.","plastid",16127381,16129843,"forward","Nucleus",0.00653433500413261,0.998022334505606,-0.541,0.382,1.04,0.0154,0.303148972572147,0.0995168240160309,-1,0.449,-0.154,0.808
"81","AT1G43800.1","Plant stearoyl-acyl-carrier-protein desaturase family protein;","golgi",16577610,16579722,"forward","Nucleus",-0.0258153714202074,0.884364783697644,-0.0745,0.776,0.217,0.721,0.0134212707348984,0.960516550668303,-0.55,0.721,-0.198,0.789
"82","AT1G44575.1","Chlorophyll A-B binding family protein;Encoding PSII-S (CP22), a ubiquitous pigment-binding protein associated with photosystem II (PSII) of higher plants. Involved in nonphotochemical quenching rather than in photosynthesis. Mutant has a normal violaxanthin cycle but has a limited capacity of quenching singlet excited chlorophylls and is tolerant to lipid peroxidation.","plastid",16871696,16873378,"forward","Nucleus",0.0044328813668842,0.998022334505606,-0.576,0.654,-0.829,0.522,0.568354555298415,0.00379884324676969,-0.725,0.803,-1.19,0.49
"83","AT1G47260.1","gamma carbonic anhydrase 2;Encodes mitochondrial gamma carbonic anhydrase. Component of the NADH dehydrogenase complex.","mitochondrion",17321173,17323484,"reverse","Nucleus",0.0349763339806204,0.935953724650397,-1.77,0.0791,-0.0778,0.824,0.263361224291415,0.00353144197263849,-2.44,0.278,-0.0731,0.846
"84","AT1G47420.1","succinate dehydrogenase 5;","mitochondrion",17395518,17397255,"reverse","Nucleus",0.00850470308139747,0.998022334505606,-0.148,0.682,-0.237,0.543,0.0645950636632461,0.554032026672707,-0.282,0.763,-0.0426,0.837
"85","AT1G48030.1","mitochondrial lipoamide dehydrogenase 1;Encodes a mitochondrial lipoamide dehydrogenase whose expression is induced by light.","mitochondrion",17717139,17719141,"reverse","Nucleus",-0.00150859346462313,0.999130546372262,-0.244,0.303,-0.294,0.119,0.070828606416352,0.634836840843102,-0.248,0.683,-0.344,0.234
"86","AT1G48320.1","Thioesterase superfamily protein;","peroxisome",17854813,17855715,"reverse","Nucleus",0.0287472107723874,0.910603526716447,0.192,0.752,-1.17,0.0988,-0.0161046870310838,0.945271225021458,-0.553,0.799,0.367,0.768
